imageName,imageData,imageHeight,imageWidth,img_id,part,id,img_rel_path,classification_rank,x1,x2,y1,y2,label,rank,points
000.png,,1024,1024,27,grid,49,training/bent/000.png,,309.0,369.0,746.0,791.0,bent,-1,"[[320, 746], [320, 748], [319, 749], [319, 750], [318, 751], [318, 753], [317, 754], [316, 754], [316, 756], [312, 760], [312, 761], [309, 764], [311, 766], [311, 767], [312, 768], [312, 770], [313, 770], [314, 771], [315, 771], [318, 774], [318, 775], [320, 777], [320, 780], [325, 785], [326, 785], [327, 786], [328, 786], [329, 787], [352, 787], [353, 788], [354, 788], [355, 789], [355, 790], [356, 791], [359, 791], [359, 790], [360, 789], [361, 789], [363, 787], [363, 785], [365, 783], [365, 782], [367, 780], [367, 777], [368, 776], [368, 775], [369, 774], [369, 772], [367, 772], [366, 771], [365, 771], [363, 769], [362, 769], [361, 768], [360, 768], [359, 767], [359, 766], [358, 765], [357, 765], [354, 762], [353, 762], [351, 760], [350, 760], [348, 758], [348, 757], [346, 757], [343, 754], [342, 754], [341, 753], [340, 753], [338, 751], [337, 751], [336, 750], [333, 750], [332, 749], [331, 749], [329, 747], [328, 747], [327, 746]]"
000.png,,1024,1024,27,grid,50,training/bent/000.png,,769.0,820.0,402.0,461.0,bent,-1,"[[771, 402], [771, 407], [770, 408], [770, 411], [769, 412], [769, 415], [770, 416], [771, 416], [772, 417], [772, 442], [773, 443], [773, 446], [774, 447], [774, 448], [776, 450], [776, 451], [778, 453], [779, 453], [780, 454], [780, 455], [782, 457], [784, 457], [785, 458], [786, 458], [787, 459], [790, 459], [791, 460], [796, 460], [797, 461], [801, 461], [801, 460], [802, 459], [803, 459], [805, 457], [807, 457], [809, 455], [811, 455], [817, 449], [817, 447], [818, 446], [818, 444], [819, 443], [819, 439], [820, 438], [820, 436], [819, 435], [817, 435], [813, 431], [812, 431], [810, 429], [809, 429], [808, 428], [808, 427], [807, 427], [805, 425], [805, 424], [804, 423], [803, 423], [801, 421], [801, 420], [800, 420], [796, 416], [794, 416], [793, 415], [793, 414], [792, 414], [790, 412], [789, 412], [786, 409], [784, 409], [782, 407], [781, 407], [779, 405], [777, 405], [775, 403], [772, 403]]"
000.png,,1024,1024,27,grid,51,training/bent/000.png,,248.0,318.0,290.0,350.0,bent,-1,"[[257, 290], [257, 292], [255, 294], [254, 294], [254, 295], [252, 297], [252, 298], [249, 301], [249, 302], [248, 303], [248, 304], [256, 304], [257, 305], [262, 305], [264, 307], [265, 307], [266, 308], [266, 338], [268, 340], [268, 342], [269, 342], [270, 343], [270, 344], [271, 345], [271, 346], [272, 346], [275, 349], [278, 349], [279, 350], [290, 350], [291, 349], [301, 349], [302, 348], [305, 348], [306, 347], [308, 347], [309, 346], [315, 346], [316, 345], [317, 345], [317, 344], [318, 343], [318, 338], [317, 337], [317, 335], [316, 335], [315, 334], [314, 334], [311, 331], [309, 331], [307, 329], [307, 328], [306, 327], [305, 327], [300, 322], [299, 322], [297, 320], [296, 320], [293, 317], [293, 316], [292, 316], [290, 314], [290, 313], [285, 308], [285, 307], [283, 305], [282, 305], [281, 304], [281, 302], [280, 301], [279, 301], [278, 300], [278, 299], [276, 297], [275, 297], [273, 295], [272, 295], [271, 294], [269, 294], [267, 292], [266, 292], [265, 291], [264, 291], [263, 290]]"
001.png,,1024,1024,28,grid,52,training/bent/001.png,,446.0,526.0,761.0,832.0,bent,-1,"[[497, 761], [498, 762], [498, 763], [500, 765], [500, 796], [499, 797], [477, 797], [476, 798], [471, 798], [470, 799], [468, 799], [467, 800], [465, 800], [463, 802], [462, 802], [459, 805], [458, 805], [457, 806], [456, 806], [453, 809], [452, 809], [449, 812], [449, 813], [448, 814], [448, 815], [446, 817], [446, 828], [448, 828], [450, 830], [451, 830], [453, 832], [468, 832], [469, 831], [475, 831], [476, 830], [482, 830], [483, 829], [487, 829], [488, 828], [493, 828], [494, 827], [495, 827], [496, 826], [503, 826], [505, 824], [506, 824], [510, 820], [512, 820], [512, 819], [514, 817], [515, 817], [515, 816], [519, 812], [519, 811], [523, 807], [523, 805], [524, 804], [524, 803], [526, 801], [526, 783], [524, 781], [524, 780], [523, 779], [523, 776], [521, 774], [521, 772], [520, 772], [519, 771], [519, 770], [518, 769], [516, 769], [515, 768], [515, 767], [514, 766], [513, 766], [512, 765], [507, 765], [506, 764], [504, 764], [503, 763], [501, 763], [500, 762], [498, 762]]"
001.png,,1024,1024,28,grid,53,training/bent/001.png,,704.0,768.0,449.0,513.0,bent,-1,"[[716, 449], [715, 450], [713, 450], [713, 451], [712, 452], [711, 452], [710, 453], [709, 453], [704, 458], [704, 461], [705, 462], [705, 463], [706, 464], [708, 464], [711, 467], [712, 467], [714, 469], [714, 492], [715, 493], [715, 498], [716, 499], [716, 500], [717, 501], [717, 503], [718, 504], [718, 505], [720, 507], [720, 508], [721, 508], [722, 509], [723, 509], [725, 511], [727, 511], [729, 513], [738, 513], [739, 512], [742, 512], [743, 511], [746, 511], [747, 510], [750, 510], [751, 509], [759, 509], [760, 508], [764, 508], [765, 507], [768, 507], [768, 505], [767, 504], [767, 503], [766, 502], [766, 501], [764, 499], [764, 498], [763, 497], [763, 496], [760, 493], [760, 492], [759, 491], [759, 490], [758, 490], [756, 488], [756, 487], [753, 484], [753, 483], [752, 483], [750, 481], [750, 480], [738, 468], [738, 467], [732, 461], [731, 461], [730, 460], [730, 458], [729, 457], [728, 457], [720, 449]]"
002.png,,1024,1024,29,grid,54,training/bent/002.png,,430.0,467.0,772.0,840.0,bent,-1,"[[455, 772], [454, 773], [453, 773], [449, 777], [449, 778], [447, 780], [447, 781], [446, 782], [446, 784], [443, 787], [443, 788], [442, 789], [442, 790], [436, 796], [436, 797], [435, 798], [435, 800], [433, 802], [433, 805], [432, 806], [432, 808], [431, 809], [431, 835], [430, 836], [430, 839], [434, 839], [435, 840], [437, 840], [438, 839], [446, 839], [447, 838], [447, 837], [448, 836], [448, 821], [449, 820], [449, 818], [452, 815], [452, 814], [454, 812], [454, 811], [456, 809], [456, 808], [458, 806], [459, 806], [459, 805], [460, 804], [460, 803], [463, 800], [463, 799], [464, 798], [464, 796], [466, 794], [466, 792], [467, 791], [467, 790], [466, 789], [466, 783], [465, 782], [465, 780], [464, 780], [463, 779], [463, 778], [457, 772]]"
002.png,,1024,1024,29,grid,55,training/bent/002.png,,949.0,988.0,594.0,659.0,bent,-1,"[[978, 594], [977, 595], [974, 595], [973, 596], [973, 597], [965, 605], [965, 606], [961, 610], [961, 612], [958, 615], [958, 616], [957, 617], [957, 618], [954, 621], [954, 627], [953, 628], [953, 629], [952, 630], [952, 632], [951, 633], [951, 635], [950, 636], [950, 645], [949, 646], [949, 653], [950, 654], [950, 655], [952, 657], [953, 657], [954, 658], [956, 658], [957, 659], [960, 659], [962, 657], [964, 657], [964, 656], [966, 654], [967, 654], [968, 653], [968, 645], [969, 644], [969, 642], [970, 641], [970, 640], [971, 639], [971, 637], [972, 636], [972, 632], [974, 630], [974, 629], [975, 628], [975, 626], [977, 624], [977, 622], [982, 617], [983, 617], [984, 616], [985, 616], [986, 615], [986, 610], [987, 609], [987, 606], [988, 605], [988, 602], [987, 602], [983, 598], [982, 598], [979, 595], [979, 594]]"
002.png,,1024,1024,29,grid,56,training/bent/002.png,,436.0,478.0,239.0,309.0,bent,-1,"[[466, 239], [465, 240], [464, 240], [464, 241], [463, 242], [461, 242], [460, 243], [460, 252], [457, 255], [457, 256], [456, 257], [454, 257], [453, 258], [453, 259], [452, 260], [450, 260], [446, 264], [445, 264], [441, 268], [440, 268], [439, 269], [439, 270], [438, 271], [438, 278], [437, 279], [437, 284], [436, 285], [436, 291], [437, 292], [437, 293], [438, 294], [438, 296], [439, 297], [439, 298], [440, 298], [442, 300], [443, 300], [444, 301], [445, 301], [453, 309], [454, 308], [455, 308], [456, 307], [456, 306], [459, 303], [459, 302], [460, 301], [460, 298], [461, 297], [461, 292], [462, 291], [462, 286], [463, 285], [463, 280], [464, 279], [464, 278], [465, 277], [465, 276], [466, 275], [466, 272], [467, 271], [467, 265], [470, 262], [471, 262], [471, 261], [476, 256], [476, 255], [477, 254], [477, 251], [478, 250], [478, 244], [475, 241], [475, 240], [473, 240], [472, 239]]"
003.png,,1024,1024,30,grid,57,training/bent/003.png,,200.0,316.0,475.0,542.0,bent,-1,"[[234, 475], [233, 476], [229, 476], [228, 477], [226, 477], [225, 478], [223, 478], [222, 479], [219, 479], [218, 480], [216, 480], [213, 483], [212, 483], [210, 485], [209, 485], [207, 487], [206, 487], [205, 488], [205, 489], [204, 490], [204, 491], [201, 494], [201, 499], [200, 500], [200, 511], [202, 509], [203, 509], [204, 508], [204, 507], [206, 505], [207, 505], [211, 501], [212, 501], [216, 497], [217, 497], [218, 496], [218, 495], [219, 494], [220, 494], [221, 493], [252, 493], [253, 494], [253, 530], [254, 531], [254, 535], [259, 535], [260, 536], [261, 536], [262, 537], [263, 537], [264, 538], [267, 538], [268, 539], [269, 539], [270, 540], [271, 540], [272, 541], [273, 541], [274, 542], [289, 542], [290, 541], [294, 541], [295, 540], [298, 540], [299, 539], [300, 539], [301, 538], [304, 538], [315, 527], [315, 514], [316, 513], [315, 513], [312, 516], [312, 517], [309, 520], [278, 520], [277, 519], [277, 498], [276, 497], [276, 495], [275, 494], [275, 492], [274, 491], [274, 487], [273, 487], [272, 486], [271, 486], [270, 485], [270, 484], [269, 483], [268, 483], [266, 481], [265, 481], [263, 479], [260, 479], [259, 478], [258, 478], [257, 477], [254, 477], [253, 476], [249, 476], [248, 475]]"
003.png,,1024,1024,30,grid,58,training/bent/003.png,,884.0,1006.0,378.0,454.0,bent,-1,"[[932, 378], [931, 379], [929, 379], [926, 382], [925, 382], [924, 383], [922, 383], [920, 385], [919, 385], [918, 386], [915, 386], [914, 387], [913, 387], [912, 388], [910, 388], [909, 389], [908, 389], [907, 390], [903, 390], [902, 391], [901, 391], [900, 392], [898, 392], [897, 393], [896, 393], [895, 394], [893, 394], [889, 398], [889, 399], [887, 401], [887, 403], [884, 406], [884, 417], [886, 419], [886, 420], [887, 421], [887, 422], [888, 422], [888, 421], [889, 420], [890, 420], [890, 419], [893, 416], [894, 416], [894, 415], [895, 414], [895, 413], [896, 412], [897, 412], [897, 411], [901, 407], [901, 406], [902, 405], [937, 405], [938, 406], [938, 409], [939, 410], [939, 436], [941, 438], [941, 440], [950, 449], [951, 449], [954, 452], [954, 453], [956, 453], [957, 454], [963, 454], [964, 453], [968, 453], [969, 452], [971, 452], [972, 451], [974, 451], [975, 450], [976, 450], [977, 449], [983, 449], [984, 448], [985, 448], [987, 446], [988, 446], [990, 444], [990, 443], [991, 442], [994, 442], [994, 441], [997, 438], [998, 438], [1002, 434], [1002, 433], [1004, 431], [1004, 430], [1005, 429], [1005, 415], [1006, 414], [1006, 413], [1006, 414], [1004, 416], [1003, 416], [1002, 417], [1002, 418], [1000, 420], [999, 420], [999, 421], [997, 423], [996, 423], [995, 424], [995, 425], [993, 427], [961, 427], [960, 426], [960, 405], [959, 404], [959, 403], [958, 402], [958, 401], [957, 400], [957, 397], [956, 396], [956, 395], [954, 393], [954, 392], [953, 391], [953, 390], [952, 389], [952, 386], [950, 386], [948, 384], [947, 384], [946, 383], [944, 383], [942, 381], [941, 381], [940, 380], [940, 379], [939, 378]]"
