imageName,imageData,imageHeight,imageWidth,img_id,part,id,img_rel_path,classification_rank,x1,x2,y1,y2,label,rank,points
000.png,,1024,1024,44,leather,44,training/color/000.png,,692,759,532,638,color,-1,"[[721, 532], [721, 536], [718, 539], [708, 539], [708, 540], [707, 541], [707, 542], [706, 543], [706, 544], [705, 545], [705, 546], [704, 547], [704, 549], [702, 551], [702, 553], [700, 555], [700, 557], [699, 558], [699, 559], [698, 560], [698, 561], [697, 562], [697, 563], [696, 564], [696, 565], [695, 566], [695, 582], [694, 583], [694, 585], [693, 586], [693, 589], [692, 590], [692, 599], [693, 600], [693, 602], [694, 603], [694, 632], [695, 632], [696, 633], [696, 634], [703, 634], [704, 635], [707, 635], [708, 636], [713, 636], [714, 637], [720, 637], [721, 638], [723, 636], [724, 636], [725, 635], [726, 635], [726, 634], [727, 633], [727, 632], [728, 631], [728, 626], [732, 622], [734, 622], [735, 621], [738, 621], [739, 620], [742, 620], [743, 619], [744, 619], [744, 617], [745, 616], [745, 615], [746, 614], [746, 602], [747, 601], [747, 600], [748, 599], [748, 598], [749, 597], [750, 597], [752, 595], [755, 595], [757, 593], [757, 589], [758, 588], [758, 584], [759, 583], [759, 572], [758, 571], [758, 567], [757, 566], [757, 564], [756, 564], [754, 562], [753, 562], [752, 561], [752, 560], [751, 559], [751, 554], [750, 553], [750, 552], [748, 550], [748, 549], [747, 548], [745, 548], [744, 547], [743, 547], [742, 546], [741, 546], [740, 545], [739, 545], [738, 544], [738, 543], [736, 543], [734, 541], [733, 541], [732, 540], [732, 539], [728, 535], [727, 535], [726, 534], [726, 533], [723, 533], [722, 532]]"
001.png,,1024,1024,45,leather,45,training/color/001.png,,657,738,363,489,color,-1,"[[725, 363], [724, 364], [722, 364], [722, 365], [721, 366], [721, 387], [719, 389], [719, 390], [718, 391], [718, 392], [717, 393], [717, 398], [716, 399], [716, 400], [715, 401], [715, 404], [714, 405], [714, 406], [713, 407], [712, 407], [712, 409], [710, 411], [710, 412], [706, 416], [705, 416], [703, 418], [702, 418], [702, 419], [701, 420], [700, 420], [696, 424], [695, 424], [691, 428], [690, 428], [690, 429], [689, 430], [687, 430], [685, 432], [684, 432], [682, 434], [681, 434], [678, 437], [677, 437], [674, 440], [673, 440], [673, 441], [672, 442], [671, 442], [671, 443], [670, 444], [669, 444], [666, 447], [666, 448], [665, 449], [665, 450], [664, 451], [663, 451], [663, 452], [661, 454], [661, 456], [660, 457], [659, 457], [659, 459], [657, 461], [657, 475], [658, 476], [658, 479], [659, 480], [659, 488], [662, 488], [663, 489], [664, 489], [664, 476], [665, 475], [665, 474], [666, 473], [666, 472], [668, 470], [668, 469], [670, 467], [670, 466], [671, 465], [672, 465], [672, 464], [674, 462], [674, 461], [680, 455], [680, 454], [682, 452], [682, 451], [683, 450], [684, 450], [685, 449], [688, 449], [692, 445], [693, 445], [696, 442], [697, 442], [699, 440], [700, 440], [702, 438], [703, 438], [703, 437], [704, 436], [705, 436], [707, 434], [708, 434], [712, 430], [713, 430], [713, 429], [716, 426], [716, 425], [717, 424], [718, 424], [718, 423], [724, 417], [724, 416], [726, 414], [726, 413], [730, 409], [730, 406], [731, 405], [731, 403], [732, 402], [732, 399], [734, 397], [734, 392], [735, 391], [735, 386], [736, 385], [736, 382], [737, 381], [737, 379], [738, 378], [738, 373], [736, 371], [736, 370], [735, 370], [734, 369], [734, 368], [733, 368], [731, 366], [730, 366], [727, 363]]"
002.png,,1024,1024,46,leather,46,training/color/002.png,,668,736,777,902,color,-1,"[[704, 777], [703, 778], [696, 778], [694, 780], [692, 780], [692, 781], [691, 782], [689, 782], [687, 784], [686, 784], [685, 785], [684, 785], [683, 786], [682, 786], [681, 787], [680, 787], [678, 789], [678, 796], [677, 797], [677, 804], [675, 806], [675, 808], [674, 809], [673, 809], [673, 844], [672, 845], [672, 846], [671, 847], [671, 851], [670, 852], [670, 853], [669, 854], [669, 858], [668, 859], [668, 861], [671, 861], [672, 862], [674, 862], [675, 863], [682, 863], [683, 864], [683, 865], [684, 866], [684, 867], [685, 868], [685, 869], [686, 870], [686, 871], [687, 871], [688, 872], [688, 873], [690, 875], [691, 875], [692, 876], [693, 876], [694, 877], [695, 877], [697, 879], [699, 879], [704, 884], [704, 887], [706, 889], [706, 890], [707, 891], [707, 892], [708, 893], [708, 894], [709, 894], [710, 895], [710, 896], [711, 896], [713, 898], [714, 898], [716, 900], [724, 900], [725, 901], [728, 901], [729, 902], [732, 902], [735, 899], [735, 882], [736, 881], [736, 857], [734, 855], [734, 825], [732, 823], [732, 822], [731, 822], [730, 821], [730, 820], [726, 816], [726, 815], [725, 815], [724, 814], [724, 811], [722, 809], [722, 806], [721, 805], [721, 804], [720, 803], [720, 801], [719, 800], [719, 799], [718, 798], [718, 795], [717, 794], [717, 793], [716, 792], [716, 789], [715, 788], [715, 787], [713, 785], [713, 784], [710, 781], [710, 780], [709, 779], [709, 778], [708, 778], [707, 777]]"
003.png,,1024,1024,47,leather,47,training/color/003.png,,510,580,170,363,color,-1,"[[555, 170], [552, 173], [552, 174], [551, 175], [551, 176], [550, 177], [550, 178], [549, 179], [549, 180], [548, 181], [548, 183], [550, 185], [550, 219], [549, 220], [545, 220], [544, 221], [542, 221], [541, 222], [539, 222], [539, 223], [537, 225], [537, 254], [536, 255], [536, 256], [533, 259], [533, 260], [532, 261], [531, 261], [531, 262], [529, 264], [520, 264], [517, 267], [516, 267], [516, 268], [515, 269], [515, 285], [514, 286], [513, 286], [511, 288], [510, 288], [510, 357], [512, 359], [512, 360], [513, 361], [514, 361], [515, 362], [516, 362], [517, 363], [519, 361], [520, 361], [521, 360], [521, 358], [522, 357], [522, 352], [523, 351], [523, 349], [524, 348], [524, 330], [525, 329], [525, 328], [526, 327], [526, 326], [527, 325], [527, 324], [530, 321], [530, 320], [531, 319], [532, 319], [534, 317], [534, 316], [535, 315], [535, 314], [536, 313], [536, 311], [537, 310], [537, 309], [538, 308], [538, 305], [541, 302], [542, 302], [543, 301], [544, 301], [545, 300], [545, 299], [546, 298], [546, 297], [547, 296], [547, 295], [548, 294], [548, 293], [549, 292], [549, 291], [550, 290], [550, 289], [551, 288], [551, 287], [552, 286], [553, 286], [553, 285], [554, 284], [555, 284], [555, 282], [557, 280], [557, 279], [558, 278], [558, 277], [559, 276], [559, 272], [560, 271], [560, 270], [561, 269], [561, 268], [562, 267], [563, 267], [563, 266], [565, 264], [565, 263], [567, 261], [567, 260], [569, 258], [569, 257], [573, 253], [573, 252], [575, 250], [575, 228], [576, 227], [577, 227], [579, 225], [579, 196], [580, 195], [580, 189], [573, 182], [573, 181], [572, 181], [571, 180], [571, 179], [569, 177], [568, 177], [564, 173], [563, 173], [560, 170]]"
004.png,,1024,1024,48,leather,48,training/color/004.png,,358,485,666,793,color,-1,"[[415, 666], [415, 667], [414, 668], [414, 671], [413, 672], [413, 673], [412, 674], [412, 678], [410, 680], [410, 682], [409, 683], [409, 684], [408, 685], [408, 686], [407, 687], [407, 689], [406, 690], [405, 690], [402, 693], [399, 693], [398, 694], [394, 694], [392, 696], [391, 696], [388, 699], [387, 699], [384, 702], [381, 702], [380, 703], [376, 703], [375, 704], [370, 704], [366, 708], [366, 709], [365, 710], [364, 710], [364, 711], [363, 712], [362, 712], [362, 713], [361, 714], [360, 714], [360, 715], [358, 717], [358, 721], [359, 722], [359, 725], [360, 726], [360, 733], [361, 734], [361, 737], [363, 737], [364, 738], [365, 738], [366, 739], [369, 739], [370, 740], [382, 740], [383, 741], [385, 741], [387, 743], [388, 743], [390, 745], [392, 745], [393, 746], [393, 776], [394, 777], [394, 778], [395, 779], [395, 780], [396, 781], [396, 782], [397, 783], [397, 784], [398, 785], [398, 786], [399, 787], [400, 787], [401, 788], [402, 788], [403, 789], [406, 789], [407, 790], [408, 790], [409, 791], [411, 791], [412, 792], [413, 792], [414, 793], [417, 793], [418, 792], [419, 792], [420, 791], [422, 791], [423, 790], [423, 781], [424, 780], [425, 780], [425, 779], [426, 778], [427, 778], [427, 777], [428, 776], [429, 776], [429, 775], [430, 774], [431, 774], [431, 773], [432, 772], [433, 772], [433, 771], [434, 770], [435, 770], [454, 751], [454, 745], [455, 744], [455, 738], [456, 737], [456, 731], [458, 729], [459, 729], [461, 727], [462, 727], [463, 726], [464, 726], [465, 725], [466, 725], [466, 724], [467, 723], [468, 723], [469, 722], [469, 718], [470, 717], [470, 705], [471, 704], [471, 699], [472, 698], [472, 696], [474, 694], [474, 693], [475, 692], [475, 691], [476, 690], [476, 689], [477, 688], [477, 687], [478, 686], [478, 685], [480, 683], [480, 682], [481, 681], [481, 680], [483, 678], [483, 676], [484, 675], [485, 675], [484, 674], [483, 674], [482, 673], [478, 673], [476, 671], [471, 671], [467, 675], [466, 675], [462, 679], [461, 679], [461, 680], [460, 681], [427, 681], [425, 679], [425, 671], [424, 671], [422, 669], [420, 669], [418, 667], [416, 667]]"
005.png,,1024,1024,49,leather,49,training/color/005.png,,782,880,494,535,color,-1,"[[853, 494], [851, 496], [844, 496], [842, 498], [842, 501], [841, 502], [840, 502], [839, 503], [826, 503], [825, 504], [823, 504], [821, 506], [820, 506], [816, 510], [816, 511], [814, 513], [784, 513], [784, 514], [783, 515], [783, 516], [782, 517], [782, 519], [786, 523], [786, 525], [792, 525], [794, 527], [796, 527], [798, 529], [799, 529], [801, 531], [802, 531], [804, 533], [806, 533], [808, 535], [816, 535], [817, 534], [819, 534], [820, 533], [827, 533], [828, 532], [832, 532], [833, 531], [835, 531], [835, 530], [836, 529], [837, 529], [838, 528], [839, 528], [840, 527], [841, 527], [842, 526], [843, 526], [844, 525], [845, 525], [846, 524], [847, 524], [848, 523], [850, 523], [851, 522], [852, 522], [853, 521], [855, 521], [856, 520], [857, 520], [858, 519], [861, 519], [862, 518], [863, 518], [863, 517], [864, 516], [864, 514], [866, 512], [870, 512], [870, 511], [871, 510], [872, 510], [873, 509], [878, 509], [878, 508], [880, 506], [880, 502], [878, 500], [875, 500], [873, 498], [859, 498], [858, 497], [858, 494]]"
006.png,,1024,1024,50,leather,50,training/color/006.png,,272,307,253,288,color,-1,"[[282, 253], [281, 254], [280, 254], [279, 255], [278, 255], [277, 256], [276, 256], [276, 258], [275, 259], [275, 267], [273, 269], [273, 270], [272, 271], [272, 272], [273, 273], [273, 278], [274, 279], [274, 280], [279, 285], [279, 286], [280, 286], [282, 288], [304, 288], [304, 287], [305, 286], [305, 285], [306, 284], [306, 283], [307, 282], [307, 275], [305, 273], [304, 273], [303, 272], [303, 271], [302, 271], [299, 268], [299, 267], [298, 266], [298, 263], [297, 262], [297, 259], [296, 259], [295, 258], [295, 257], [294, 257], [293, 256], [293, 255], [291, 255], [289, 253]]"
007.png,,1024,1024,51,leather,51,training/color/007.png,,497,623,279,355,color,-1,"[[615, 279], [614, 280], [613, 280], [612, 281], [611, 281], [608, 284], [608, 285], [607, 286], [607, 287], [605, 289], [605, 291], [604, 292], [603, 292], [602, 293], [601, 293], [600, 294], [597, 294], [595, 296], [593, 296], [588, 301], [587, 301], [584, 304], [583, 304], [582, 305], [581, 305], [580, 306], [576, 306], [574, 308], [573, 308], [572, 309], [570, 309], [569, 310], [564, 310], [563, 311], [544, 311], [543, 312], [536, 312], [535, 313], [530, 313], [529, 314], [527, 314], [526, 315], [523, 315], [522, 316], [521, 316], [520, 317], [519, 317], [518, 318], [517, 318], [514, 321], [513, 321], [511, 323], [510, 323], [508, 325], [508, 326], [506, 328], [506, 330], [505, 331], [504, 331], [504, 333], [502, 335], [502, 336], [501, 337], [501, 339], [500, 340], [500, 343], [499, 344], [499, 345], [498, 346], [498, 347], [497, 348], [497, 350], [499, 352], [500, 352], [502, 354], [504, 354], [505, 355], [508, 352], [509, 352], [509, 351], [510, 350], [511, 350], [513, 348], [513, 347], [515, 345], [540, 345], [541, 344], [542, 344], [542, 341], [543, 340], [543, 338], [545, 336], [553, 336], [554, 335], [556, 335], [558, 333], [559, 333], [561, 331], [562, 331], [566, 327], [567, 327], [567, 326], [568, 325], [569, 325], [571, 323], [573, 323], [574, 322], [575, 322], [576, 321], [577, 321], [578, 320], [580, 320], [581, 319], [584, 319], [586, 317], [586, 316], [587, 315], [610, 315], [610, 307], [611, 306], [619, 306], [619, 305], [620, 304], [620, 294], [621, 293], [621, 291], [623, 289], [623, 288], [621, 286], [621, 285], [619, 283], [619, 282], [618, 282], [617, 281], [617, 280], [616, 280]]"
008.png,,1024,1024,52,leather,52,training/color/008.png,,698,805,463,628,color,-1,"[[750, 463], [749, 464], [745, 464], [744, 465], [741, 465], [739, 467], [737, 467], [736, 468], [735, 468], [734, 469], [733, 469], [732, 470], [731, 470], [730, 471], [729, 471], [729, 472], [728, 473], [727, 473], [725, 475], [725, 476], [724, 477], [724, 487], [721, 490], [718, 490], [716, 492], [713, 492], [711, 494], [709, 494], [706, 497], [706, 498], [700, 504], [700, 505], [699, 506], [698, 506], [698, 549], [699, 550], [699, 596], [700, 597], [700, 603], [702, 605], [702, 606], [704, 608], [704, 609], [705, 609], [707, 611], [708, 611], [710, 613], [711, 613], [712, 614], [712, 615], [713, 615], [714, 616], [715, 616], [717, 618], [719, 618], [720, 619], [721, 619], [722, 620], [726, 620], [727, 621], [728, 621], [729, 622], [732, 622], [733, 623], [734, 623], [735, 624], [738, 624], [739, 625], [740, 625], [741, 626], [745, 626], [746, 627], [747, 627], [748, 628], [753, 628], [753, 627], [754, 626], [754, 625], [755, 624], [755, 622], [756, 621], [762, 621], [763, 620], [777, 620], [778, 619], [778, 617], [779, 616], [779, 610], [780, 609], [780, 598], [781, 597], [781, 596], [782, 595], [782, 594], [783, 593], [783, 592], [784, 591], [784, 588], [785, 587], [785, 582], [786, 581], [786, 580], [788, 578], [788, 577], [789, 576], [790, 576], [790, 574], [792, 572], [792, 569], [794, 567], [794, 564], [795, 563], [795, 561], [796, 560], [796, 556], [797, 555], [797, 553], [798, 552], [798, 549], [799, 548], [799, 546], [800, 545], [800, 541], [801, 540], [801, 538], [802, 537], [802, 533], [803, 532], [803, 530], [804, 529], [804, 526], [805, 525], [805, 524], [804, 523], [804, 521], [803, 520], [803, 519], [802, 518], [802, 516], [800, 514], [800, 512], [799, 511], [799, 510], [798, 509], [798, 507], [796, 505], [796, 502], [794, 500], [794, 498], [793, 497], [793, 496], [792, 495], [792, 494], [791, 494], [790, 493], [790, 492], [789, 492], [788, 491], [788, 490], [787, 490], [786, 489], [786, 488], [775, 477], [774, 477], [773, 476], [773, 475], [772, 475], [771, 474], [771, 473], [770, 473], [769, 472], [769, 471], [768, 471], [767, 470], [767, 469], [766, 469], [765, 468], [765, 467], [764, 467], [760, 463]]"
009.png,,1024,1024,53,leather,53,training/color/009.png,,479,731,705,843,color,-1,"[[490, 705], [489, 706], [487, 706], [485, 708], [484, 708], [479, 713], [479, 715], [480, 716], [480, 719], [484, 723], [485, 723], [486, 724], [487, 724], [488, 725], [492, 725], [493, 726], [499, 726], [500, 727], [517, 727], [519, 729], [520, 729], [523, 732], [524, 732], [527, 735], [528, 735], [530, 737], [531, 737], [533, 739], [534, 739], [535, 740], [535, 741], [536, 741], [537, 742], [537, 743], [543, 749], [544, 749], [545, 750], [545, 751], [546, 751], [548, 753], [548, 754], [549, 754], [551, 756], [552, 756], [554, 758], [555, 758], [556, 759], [557, 759], [558, 760], [559, 760], [562, 763], [562, 765], [564, 767], [564, 768], [570, 774], [571, 774], [572, 775], [572, 776], [573, 776], [574, 777], [574, 778], [575, 778], [576, 779], [576, 780], [577, 780], [578, 781], [578, 782], [580, 784], [580, 785], [581, 786], [581, 787], [584, 790], [584, 792], [585, 793], [585, 795], [586, 796], [598, 796], [601, 799], [601, 801], [602, 802], [602, 804], [603, 805], [603, 809], [606, 809], [607, 810], [608, 810], [609, 811], [611, 811], [613, 813], [614, 813], [615, 814], [616, 814], [617, 815], [619, 815], [621, 817], [623, 817], [625, 819], [626, 819], [628, 821], [629, 821], [632, 824], [633, 824], [634, 825], [634, 826], [635, 826], [636, 827], [636, 828], [637, 828], [638, 829], [638, 830], [639, 830], [640, 831], [641, 831], [642, 832], [651, 832], [652, 833], [652, 834], [653, 835], [655, 835], [656, 836], [661, 836], [662, 837], [669, 837], [670, 838], [674, 838], [676, 840], [677, 840], [678, 841], [680, 841], [681, 842], [716, 842], [717, 843], [724, 843], [725, 842], [726, 842], [726, 841], [727, 840], [728, 840], [728, 839], [730, 837], [730, 836], [731, 835], [731, 833], [730, 832], [716, 832], [715, 831], [714, 831], [713, 830], [709, 830], [708, 829], [707, 829], [706, 828], [695, 828], [694, 827], [692, 827], [691, 826], [688, 826], [687, 825], [686, 825], [685, 824], [683, 824], [682, 823], [681, 823], [680, 822], [676, 822], [675, 821], [674, 821], [673, 820], [669, 820], [668, 819], [663, 819], [662, 818], [660, 818], [659, 817], [657, 817], [656, 816], [655, 816], [654, 815], [653, 815], [652, 814], [651, 814], [650, 813], [649, 813], [648, 812], [646, 812], [645, 811], [641, 811], [640, 810], [639, 810], [638, 809], [636, 809], [635, 808], [634, 808], [633, 807], [632, 807], [631, 806], [630, 806], [629, 805], [628, 805], [627, 804], [626, 804], [625, 803], [624, 803], [622, 801], [621, 801], [619, 799], [618, 799], [616, 797], [615, 797], [614, 796], [614, 795], [613, 795], [612, 794], [612, 780], [611, 779], [610, 779], [609, 778], [607, 778], [606, 777], [600, 777], [599, 776], [598, 776], [593, 771], [593, 770], [592, 769], [592, 768], [589, 768], [588, 767], [585, 767], [584, 766], [582, 766], [579, 763], [579, 762], [577, 760], [577, 759], [575, 757], [575, 756], [574, 756], [573, 755], [573, 754], [572, 754], [571, 753], [571, 752], [570, 752], [566, 748], [566, 747], [565, 746], [565, 745], [564, 745], [563, 744], [563, 743], [562, 742], [562, 741], [561, 740], [561, 739], [560, 739], [558, 737], [557, 737], [555, 735], [554, 735], [553, 734], [553, 733], [552, 733], [550, 731], [549, 731], [547, 729], [546, 729], [544, 727], [543, 727], [541, 725], [540, 725], [538, 723], [536, 723], [534, 721], [532, 721], [530, 719], [529, 719], [527, 717], [526, 717], [525, 716], [523, 716], [522, 715], [522, 714], [521, 714], [520, 713], [520, 712], [519, 712], [518, 711], [518, 710], [517, 710], [516, 709], [510, 709], [509, 708], [502, 708], [500, 706], [498, 706], [497, 705]]"
