imageName,imageData,imageHeight,imageWidth,img_id,part,id,img_rel_path,classification_rank,x1,x2,y1,y2,label,rank,points
000.png,,700,700,45,metal_nut,50,training/bent/000.png,,572.0,667.0,182.0,414.0,bent,-1,"[[636, 182], [635, 183], [632, 183], [631, 184], [627, 184], [626, 185], [626, 187], [625, 188], [625, 190], [624, 191], [624, 193], [623, 194], [623, 196], [622, 197], [622, 199], [621, 200], [621, 202], [620, 203], [620, 205], [619, 206], [619, 208], [618, 209], [618, 212], [617, 213], [617, 215], [616, 216], [616, 218], [615, 219], [615, 221], [614, 222], [614, 224], [613, 225], [613, 227], [612, 228], [612, 230], [611, 231], [611, 233], [610, 234], [610, 236], [609, 237], [609, 239], [608, 240], [608, 242], [607, 243], [607, 245], [606, 246], [606, 248], [605, 249], [605, 251], [604, 252], [604, 254], [603, 255], [603, 257], [602, 258], [602, 260], [601, 261], [601, 263], [600, 264], [600, 267], [599, 268], [599, 270], [598, 271], [598, 273], [597, 274], [597, 276], [596, 277], [596, 279], [595, 280], [595, 282], [594, 283], [594, 285], [593, 286], [593, 288], [592, 289], [592, 291], [591, 292], [591, 294], [590, 295], [590, 297], [589, 298], [589, 300], [588, 301], [588, 303], [587, 304], [587, 306], [586, 307], [586, 309], [585, 310], [585, 312], [584, 313], [584, 315], [583, 316], [583, 318], [582, 319], [582, 322], [581, 323], [581, 325], [580, 326], [580, 328], [579, 329], [579, 331], [578, 332], [578, 334], [577, 335], [577, 337], [576, 338], [576, 340], [575, 341], [575, 343], [574, 344], [574, 347], [573, 348], [573, 358], [572, 359], [572, 371], [573, 372], [573, 373], [574, 374], [574, 375], [575, 376], [575, 377], [577, 379], [577, 380], [578, 381], [578, 382], [579, 383], [579, 384], [580, 385], [580, 386], [581, 387], [581, 388], [582, 389], [582, 390], [584, 392], [584, 393], [585, 394], [585, 395], [586, 396], [589, 396], [590, 397], [592, 397], [593, 398], [596, 398], [597, 399], [600, 399], [601, 400], [603, 400], [604, 401], [607, 401], [608, 402], [611, 402], [612, 403], [615, 403], [616, 404], [618, 404], [619, 405], [622, 405], [623, 406], [626, 406], [627, 407], [629, 407], [630, 408], [633, 408], [634, 409], [637, 409], [638, 410], [640, 410], [641, 411], [644, 411], [645, 412], [648, 412], [649, 413], [651, 413], [652, 414], [653, 413], [657, 413], [658, 412], [658, 407], [659, 406], [659, 399], [660, 398], [660, 392], [661, 391], [661, 385], [662, 384], [662, 377], [663, 376], [663, 370], [664, 369], [664, 355], [665, 354], [665, 338], [666, 337], [666, 322], [667, 321], [667, 319], [666, 318], [666, 307], [665, 306], [665, 296], [664, 295], [664, 285], [663, 284], [663, 274], [662, 273], [662, 269], [661, 268], [661, 263], [660, 262], [660, 257], [659, 256], [659, 252], [658, 251], [658, 246], [657, 245], [657, 241], [656, 240], [656, 235], [655, 234], [655, 229], [654, 228], [654, 224], [653, 223], [653, 218], [652, 217], [652, 213], [651, 212], [651, 207], [650, 206], [650, 201], [649, 200], [649, 196], [648, 195], [648, 191], [647, 190], [647, 189], [640, 182]]"
000.png,,700,700,45,metal_nut,51,training/bent/000.png,,246.0,399.0,38.0,129.0,bent,-1,"[[343, 38], [342, 39], [339, 39], [338, 40], [336, 40], [335, 41], [333, 41], [332, 42], [329, 42], [328, 43], [326, 43], [325, 44], [322, 44], [321, 45], [318, 45], [317, 46], [314, 46], [313, 47], [310, 47], [309, 48], [306, 48], [305, 49], [302, 49], [301, 50], [298, 50], [297, 51], [294, 51], [293, 52], [290, 52], [289, 53], [286, 53], [285, 54], [281, 54], [280, 55], [274, 55], [273, 56], [268, 56], [267, 57], [262, 57], [261, 58], [255, 58], [254, 59], [253, 59], [252, 60], [251, 60], [250, 61], [249, 61], [248, 62], [246, 62], [246, 70], [248, 72], [248, 73], [249, 74], [249, 75], [250, 76], [250, 77], [251, 78], [251, 79], [252, 79], [253, 80], [254, 80], [255, 81], [257, 81], [258, 82], [259, 82], [260, 83], [261, 83], [262, 84], [263, 84], [264, 85], [265, 85], [266, 86], [267, 86], [268, 87], [270, 87], [271, 88], [273, 88], [274, 89], [275, 89], [276, 90], [277, 90], [278, 91], [279, 91], [280, 92], [281, 92], [282, 93], [283, 93], [284, 94], [286, 94], [287, 95], [288, 95], [289, 96], [290, 96], [291, 97], [292, 97], [293, 98], [294, 98], [295, 99], [296, 99], [297, 100], [298, 100], [299, 101], [300, 101], [301, 102], [303, 102], [304, 103], [305, 103], [306, 104], [307, 104], [308, 105], [309, 105], [310, 106], [311, 106], [312, 107], [313, 107], [314, 108], [315, 108], [316, 109], [318, 109], [319, 110], [320, 110], [321, 111], [322, 111], [323, 112], [324, 112], [325, 113], [326, 113], [327, 114], [328, 114], [329, 115], [330, 115], [331, 116], [333, 116], [334, 117], [335, 117], [337, 119], [338, 119], [339, 120], [340, 120], [341, 121], [342, 121], [343, 122], [344, 122], [346, 124], [347, 124], [348, 125], [350, 125], [351, 126], [353, 126], [354, 127], [355, 127], [356, 128], [358, 128], [359, 129], [361, 127], [362, 127], [364, 125], [365, 125], [366, 124], [367, 124], [368, 123], [369, 123], [370, 122], [370, 121], [371, 120], [371, 119], [372, 118], [372, 117], [373, 116], [373, 115], [374, 114], [374, 113], [375, 112], [375, 109], [376, 108], [376, 104], [377, 103], [377, 100], [378, 99], [378, 95], [379, 94], [379, 91], [380, 90], [380, 87], [381, 86], [381, 82], [382, 81], [382, 77], [383, 76], [383, 73], [384, 72], [384, 68], [385, 67], [385, 66], [386, 65], [386, 63], [387, 62], [387, 61], [395, 53], [396, 53], [398, 51], [399, 51], [393, 45], [390, 45], [389, 44], [386, 44], [385, 43], [383, 43], [382, 42], [379, 42], [378, 41], [375, 41], [374, 40], [368, 40], [367, 39], [354, 39], [353, 38]]"
001.png,,700,700,46,metal_nut,52,training/bent/001.png,,412.0,553.0,563.0,653.0,bent,-1,"[[471, 563], [470, 564], [441, 564], [440, 565], [427, 565], [426, 566], [422, 566], [419, 569], [419, 570], [417, 572], [417, 573], [416, 574], [416, 575], [415, 576], [415, 577], [414, 578], [414, 579], [413, 580], [413, 581], [412, 582], [412, 596], [413, 597], [413, 602], [414, 603], [414, 607], [415, 608], [415, 612], [416, 613], [416, 617], [417, 618], [417, 622], [418, 623], [418, 627], [419, 628], [419, 632], [420, 633], [420, 636], [421, 637], [421, 641], [422, 642], [422, 646], [423, 647], [423, 648], [428, 653], [429, 653], [430, 652], [434, 652], [435, 651], [438, 651], [439, 650], [442, 650], [443, 649], [445, 649], [446, 648], [447, 648], [448, 647], [449, 647], [450, 646], [451, 646], [452, 645], [453, 645], [454, 644], [455, 644], [456, 643], [457, 643], [458, 642], [459, 642], [460, 641], [461, 641], [463, 639], [464, 639], [465, 638], [466, 638], [468, 636], [469, 636], [470, 635], [471, 635], [479, 627], [480, 627], [481, 626], [482, 626], [484, 624], [485, 624], [486, 623], [487, 623], [488, 622], [489, 622], [491, 620], [493, 620], [494, 619], [495, 619], [496, 618], [497, 618], [498, 617], [500, 617], [501, 616], [502, 616], [503, 615], [504, 615], [505, 614], [507, 614], [508, 613], [509, 613], [511, 611], [512, 611], [514, 609], [515, 609], [517, 607], [518, 607], [520, 605], [521, 605], [523, 603], [524, 603], [525, 602], [526, 602], [527, 601], [528, 601], [529, 600], [530, 600], [531, 599], [532, 599], [534, 597], [535, 597], [536, 596], [537, 596], [538, 595], [539, 595], [542, 592], [543, 592], [546, 589], [547, 589], [550, 586], [550, 585], [551, 584], [551, 582], [552, 581], [552, 580], [553, 579], [553, 570], [552, 569], [552, 568], [551, 567], [551, 566], [550, 565], [548, 565], [547, 564], [531, 564], [530, 563]]"
002.png,,700,700,47,metal_nut,53,training/bent/002.png,,60.0,129.0,371.0,473.0,bent,-1,"[[77, 371], [76, 372], [60, 372], [61, 373], [61, 379], [62, 380], [62, 382], [63, 383], [63, 384], [64, 385], [64, 386], [65, 387], [65, 388], [67, 390], [67, 391], [68, 392], [68, 393], [69, 394], [69, 395], [70, 396], [70, 397], [72, 399], [72, 400], [73, 401], [73, 403], [74, 404], [74, 405], [75, 406], [75, 408], [76, 409], [76, 411], [77, 412], [77, 414], [78, 415], [78, 417], [79, 418], [79, 420], [80, 421], [80, 423], [81, 424], [81, 426], [82, 427], [82, 430], [83, 431], [83, 433], [84, 434], [84, 437], [85, 438], [85, 441], [86, 442], [86, 445], [87, 446], [87, 449], [88, 449], [92, 453], [93, 453], [97, 457], [98, 457], [104, 463], [105, 463], [110, 468], [111, 468], [112, 469], [113, 469], [114, 470], [115, 470], [117, 472], [120, 472], [121, 473], [125, 473], [125, 469], [126, 468], [126, 457], [127, 456], [127, 438], [128, 437], [128, 391], [129, 390], [129, 388], [128, 387], [128, 386], [127, 385], [127, 384], [126, 383], [126, 382], [125, 381], [125, 379], [124, 378], [124, 377], [123, 377], [121, 375], [120, 375], [118, 373], [117, 373], [116, 372], [113, 372], [112, 371]]"
003.png,,700,700,48,metal_nut,54,training/bent/003.png,,574.0,658.0,204.0,369.0,bent,-1,"[[609, 204], [607, 206], [607, 207], [606, 208], [606, 211], [605, 212], [605, 215], [604, 216], [604, 218], [603, 219], [603, 222], [602, 223], [602, 225], [601, 226], [601, 227], [600, 228], [600, 230], [599, 231], [599, 232], [598, 233], [598, 234], [597, 235], [597, 237], [596, 238], [596, 239], [595, 240], [595, 244], [594, 245], [594, 248], [593, 249], [593, 253], [592, 254], [592, 256], [591, 257], [591, 260], [590, 261], [590, 263], [588, 265], [588, 266], [585, 269], [585, 271], [584, 272], [584, 277], [583, 278], [583, 282], [582, 283], [582, 287], [581, 288], [581, 292], [580, 293], [580, 298], [579, 299], [579, 305], [578, 306], [578, 313], [577, 314], [577, 319], [576, 320], [576, 324], [575, 325], [575, 330], [574, 331], [574, 332], [575, 333], [575, 339], [576, 340], [576, 341], [579, 344], [580, 344], [581, 345], [582, 345], [584, 347], [586, 347], [587, 348], [588, 348], [589, 349], [590, 349], [591, 350], [592, 350], [593, 351], [595, 351], [596, 352], [598, 352], [599, 353], [602, 353], [603, 354], [607, 354], [608, 355], [611, 355], [612, 356], [616, 356], [617, 357], [620, 357], [621, 358], [623, 358], [624, 359], [627, 359], [628, 360], [630, 360], [631, 361], [633, 361], [634, 362], [636, 362], [637, 363], [639, 363], [640, 364], [641, 364], [642, 365], [644, 365], [645, 366], [646, 366], [647, 367], [648, 367], [649, 368], [654, 368], [655, 369], [656, 369], [656, 367], [657, 366], [657, 349], [658, 348], [658, 339], [657, 338], [657, 316], [656, 315], [656, 314], [655, 313], [655, 312], [653, 310], [653, 309], [652, 308], [652, 307], [651, 306], [651, 304], [650, 303], [650, 301], [649, 300], [649, 292], [648, 291], [648, 276], [647, 275], [647, 255], [646, 254], [646, 252], [645, 251], [645, 250], [644, 249], [644, 248], [642, 246], [642, 245], [641, 244], [641, 243], [638, 240], [638, 239], [635, 236], [635, 235], [632, 232], [632, 231], [629, 228], [629, 227], [627, 225], [627, 224], [624, 221], [624, 220], [622, 218], [622, 217], [621, 216], [621, 215], [620, 214], [620, 213], [618, 211], [618, 210], [615, 207], [615, 206], [614, 205], [612, 205], [611, 204]]"
004.png,,700,700,49,metal_nut,55,training/bent/004.png,,380.0,533.0,64.0,161.0,bent,-1,"[[384, 64], [382, 66], [381, 66], [380, 67], [380, 77], [382, 79], [382, 80], [383, 81], [383, 82], [385, 84], [385, 85], [386, 86], [386, 87], [388, 89], [388, 90], [389, 91], [389, 92], [391, 94], [391, 95], [393, 97], [393, 98], [399, 104], [399, 105], [418, 124], [418, 125], [437, 144], [437, 145], [450, 158], [451, 158], [453, 160], [454, 160], [455, 161], [460, 161], [461, 160], [465, 160], [466, 159], [467, 159], [468, 158], [469, 158], [471, 156], [472, 156], [474, 154], [475, 154], [476, 153], [477, 153], [479, 151], [480, 151], [482, 149], [483, 149], [484, 148], [485, 148], [509, 124], [510, 124], [514, 120], [515, 120], [516, 119], [517, 119], [518, 118], [519, 118], [520, 117], [521, 117], [522, 116], [523, 116], [524, 115], [525, 115], [526, 114], [527, 114], [528, 113], [528, 112], [531, 109], [531, 108], [533, 106], [532, 106], [530, 104], [529, 104], [526, 101], [525, 101], [524, 100], [523, 100], [522, 99], [521, 99], [520, 98], [519, 98], [518, 97], [517, 97], [516, 96], [515, 96], [514, 95], [513, 95], [512, 94], [511, 94], [510, 93], [508, 93], [507, 92], [505, 92], [504, 91], [502, 91], [501, 90], [499, 90], [498, 89], [496, 89], [495, 88], [493, 88], [492, 87], [490, 87], [489, 86], [487, 86], [486, 85], [483, 85], [482, 84], [476, 84], [475, 83], [469, 83], [468, 82], [463, 82], [462, 81], [456, 81], [455, 80], [453, 80], [452, 79], [449, 79], [448, 78], [446, 78], [445, 77], [442, 77], [441, 76], [439, 76], [438, 75], [436, 75], [435, 74], [408, 74], [407, 73], [406, 73], [405, 72], [403, 72], [402, 71], [401, 71], [400, 70], [398, 70], [397, 69], [396, 69], [395, 68], [393, 68], [392, 67], [390, 67], [389, 66], [388, 66], [387, 65], [386, 65], [385, 64]]"
005.png,,700,700,50,metal_nut,56,training/bent/005.png,,316.0,416.0,578.0,631.0,bent,-1,"[[341, 578], [338, 581], [337, 581], [335, 583], [334, 583], [331, 586], [330, 586], [327, 589], [326, 589], [322, 593], [322, 594], [321, 595], [321, 599], [320, 600], [320, 601], [319, 602], [319, 604], [318, 605], [318, 609], [317, 610], [317, 612], [316, 613], [316, 619], [317, 620], [317, 622], [322, 627], [323, 627], [324, 628], [326, 628], [327, 629], [359, 629], [360, 630], [366, 630], [367, 631], [368, 630], [376, 630], [377, 629], [386, 629], [387, 628], [391, 628], [392, 627], [395, 627], [396, 626], [400, 626], [401, 625], [406, 625], [407, 624], [409, 624], [410, 623], [411, 623], [412, 622], [413, 622], [414, 621], [414, 620], [416, 618], [416, 614], [415, 614], [412, 611], [411, 611], [406, 606], [405, 606], [402, 603], [401, 603], [399, 601], [398, 601], [396, 599], [395, 599], [392, 596], [391, 596], [388, 593], [387, 593], [386, 592], [385, 592], [384, 591], [383, 591], [381, 589], [380, 589], [379, 588], [378, 588], [377, 587], [376, 587], [375, 586], [373, 586], [372, 585], [370, 585], [369, 584], [367, 584], [366, 583], [364, 583], [363, 582], [359, 582], [358, 581], [352, 581], [351, 580], [344, 580], [343, 579], [342, 579]]"
005.png,,700,700,50,metal_nut,57,training/bent/005.png,,41.0,125.0,316.0,446.0,bent,-1,"[[59, 316], [58, 317], [56, 317], [52, 321], [52, 326], [51, 327], [51, 333], [50, 334], [50, 339], [49, 340], [49, 344], [48, 345], [48, 349], [47, 350], [47, 354], [46, 355], [46, 358], [45, 359], [45, 360], [44, 361], [44, 364], [43, 365], [43, 368], [42, 369], [42, 373], [41, 374], [41, 377], [42, 378], [42, 379], [43, 380], [43, 381], [44, 382], [44, 385], [45, 386], [45, 389], [46, 390], [46, 396], [47, 397], [47, 442], [48, 443], [48, 445], [49, 446], [58, 446], [59, 445], [60, 445], [62, 443], [62, 442], [63, 441], [63, 439], [64, 438], [64, 436], [65, 435], [65, 434], [73, 426], [74, 426], [76, 424], [77, 424], [78, 423], [79, 423], [80, 422], [81, 422], [82, 421], [83, 421], [84, 420], [85, 420], [86, 419], [87, 419], [89, 417], [90, 417], [92, 415], [93, 415], [94, 414], [94, 413], [95, 412], [95, 411], [96, 410], [96, 409], [97, 408], [97, 407], [98, 406], [98, 405], [101, 402], [101, 401], [104, 398], [104, 397], [106, 395], [106, 394], [108, 392], [108, 391], [109, 390], [109, 389], [110, 388], [110, 387], [111, 386], [111, 385], [113, 383], [113, 382], [114, 381], [114, 380], [115, 379], [115, 378], [116, 377], [116, 376], [117, 375], [117, 374], [118, 373], [118, 372], [120, 370], [120, 369], [122, 367], [122, 365], [123, 364], [123, 359], [124, 358], [124, 353], [125, 352], [125, 343], [124, 342], [124, 339], [123, 338], [123, 337], [119, 333], [118, 333], [116, 331], [114, 331], [113, 330], [110, 330], [109, 329], [102, 329], [101, 328], [96, 328], [95, 327], [91, 327], [90, 326], [86, 326], [85, 325], [81, 325], [80, 324], [77, 324], [76, 323], [73, 323], [72, 322], [71, 322], [70, 321], [69, 321], [67, 319], [66, 319], [65, 318], [63, 318], [62, 317], [60, 317]]"
006.png,,700,700,51,metal_nut,58,training/bent/006.png,,44.0,134.0,391.0,513.0,bent,-1,"[[111, 391], [110, 392], [106, 392], [105, 393], [102, 393], [101, 394], [97, 394], [96, 395], [94, 395], [93, 396], [55, 396], [54, 395], [53, 395], [52, 394], [48, 394], [47, 393], [46, 393], [45, 394], [44, 394], [44, 400], [45, 401], [45, 403], [46, 404], [46, 406], [47, 407], [47, 409], [48, 410], [48, 412], [49, 413], [49, 414], [50, 415], [50, 417], [51, 418], [51, 422], [52, 423], [52, 425], [53, 426], [53, 428], [54, 429], [54, 431], [55, 432], [55, 434], [56, 435], [56, 437], [57, 438], [57, 440], [58, 441], [58, 443], [60, 445], [60, 446], [61, 447], [61, 448], [62, 449], [62, 450], [64, 452], [64, 453], [66, 455], [66, 456], [68, 458], [68, 459], [70, 461], [70, 462], [73, 465], [73, 466], [75, 468], [75, 469], [77, 471], [77, 472], [79, 474], [79, 475], [81, 477], [81, 478], [83, 480], [83, 481], [85, 483], [85, 484], [87, 486], [87, 487], [89, 489], [89, 490], [90, 491], [90, 492], [92, 494], [92, 495], [94, 497], [94, 498], [97, 501], [97, 502], [108, 513], [109, 512], [110, 512], [111, 511], [111, 510], [114, 507], [114, 506], [115, 505], [115, 504], [116, 503], [116, 501], [117, 500], [117, 498], [118, 497], [118, 495], [119, 494], [119, 492], [120, 491], [120, 489], [121, 488], [121, 486], [122, 485], [122, 483], [123, 482], [123, 480], [124, 479], [124, 476], [125, 475], [125, 465], [126, 464], [126, 458], [127, 457], [127, 451], [128, 450], [128, 431], [129, 430], [129, 427], [130, 426], [130, 421], [131, 420], [131, 418], [132, 417], [132, 414], [133, 413], [133, 411], [134, 410], [134, 404], [133, 403], [132, 403], [124, 395], [123, 395], [120, 392], [117, 392], [116, 391]]"
007.png,,700,700,52,metal_nut,59,training/bent/007.png,,566.0,619.0,356.0,456.0,bent,-1,"[[610, 356], [609, 357], [608, 357], [607, 358], [606, 358], [605, 359], [604, 359], [599, 364], [599, 365], [595, 369], [595, 370], [588, 377], [588, 378], [585, 381], [585, 382], [584, 383], [584, 384], [583, 385], [583, 386], [581, 388], [581, 389], [578, 392], [578, 393], [576, 395], [576, 396], [575, 397], [575, 398], [574, 399], [574, 400], [572, 402], [572, 403], [571, 404], [571, 405], [570, 406], [570, 407], [569, 408], [569, 410], [568, 411], [568, 413], [567, 414], [567, 416], [566, 417], [566, 420], [567, 421], [567, 423], [568, 424], [568, 427], [569, 428], [569, 429], [570, 430], [570, 431], [571, 432], [571, 433], [572, 434], [572, 435], [575, 438], [576, 438], [581, 443], [582, 443], [584, 445], [585, 445], [587, 447], [588, 447], [589, 448], [590, 448], [592, 450], [593, 450], [595, 452], [596, 452], [597, 453], [599, 453], [600, 454], [602, 454], [603, 455], [605, 455], [606, 456], [607, 455], [611, 455], [611, 427], [612, 426], [612, 421], [613, 420], [613, 415], [614, 414], [614, 411], [615, 410], [615, 408], [616, 407], [616, 404], [617, 403], [617, 399], [618, 398], [618, 387], [619, 386], [619, 367], [618, 366], [618, 363], [617, 362], [617, 361], [616, 360], [616, 359], [615, 358], [615, 357], [614, 356]]"
