imageName,imageData,imageHeight,imageWidth,img_id,part,id,img_rel_path,classification_rank,x1,x2,y1,y2,label,rank,points
000.png,,800,800,68,pill,81,training/color/000.png,,578.0,601.0,419.0,443.0,color,-1,"[[588, 419], [583, 424], [583, 425], [582, 426], [582, 427], [578, 431], [578, 436], [582, 440], [583, 440], [584, 441], [585, 441], [586, 442], [588, 442], [589, 443], [595, 443], [598, 440], [598, 439], [600, 437], [600, 434], [601, 433], [601, 428], [600, 428], [597, 425], [597, 424], [592, 419]]"
001.png,,800,800,69,pill,82,training/color/001.png,,535.0,660.0,348.0,451.0,color,-1,"[[641, 348], [640, 349], [636, 349], [635, 350], [632, 350], [627, 355], [627, 366], [626, 367], [599, 367], [598, 368], [595, 368], [594, 369], [593, 369], [592, 370], [591, 370], [586, 375], [586, 378], [585, 379], [585, 384], [584, 385], [557, 385], [556, 386], [553, 386], [552, 387], [551, 387], [547, 391], [547, 392], [546, 393], [546, 396], [545, 397], [545, 421], [543, 423], [542, 423], [541, 424], [540, 424], [538, 426], [538, 427], [537, 428], [537, 429], [536, 430], [536, 434], [535, 435], [535, 441], [541, 447], [542, 447], [543, 448], [545, 448], [546, 449], [548, 449], [549, 450], [550, 450], [551, 451], [554, 451], [555, 450], [559, 450], [560, 449], [561, 449], [562, 448], [563, 448], [564, 447], [564, 446], [565, 445], [565, 440], [566, 439], [566, 412], [567, 411], [573, 411], [574, 410], [575, 410], [577, 408], [578, 408], [579, 407], [579, 405], [580, 404], [580, 400], [581, 399], [581, 394], [582, 393], [606, 393], [607, 392], [608, 392], [609, 391], [610, 391], [611, 390], [612, 390], [617, 385], [617, 384], [618, 383], [618, 374], [619, 373], [644, 373], [645, 372], [653, 372], [658, 367], [658, 365], [659, 364], [659, 362], [660, 361], [660, 360], [659, 359], [659, 358], [658, 357], [658, 354], [657, 353], [657, 352], [656, 351], [654, 351], [653, 350], [652, 350], [651, 349], [649, 349], [648, 348]]"
002.png,,800,800,70,pill,83,training/color/002.png,,500.0,742.0,455.0,627.0,color,-1,"[[741, 455], [739, 457], [738, 457], [736, 459], [735, 459], [732, 462], [731, 462], [729, 464], [729, 465], [726, 468], [726, 469], [723, 472], [723, 474], [720, 477], [720, 478], [718, 480], [718, 481], [713, 486], [713, 487], [705, 495], [705, 497], [679, 523], [679, 524], [677, 526], [677, 527], [672, 532], [672, 533], [671, 534], [670, 534], [667, 537], [666, 537], [663, 540], [662, 540], [656, 546], [655, 546], [652, 549], [651, 549], [648, 552], [647, 552], [645, 554], [644, 554], [643, 555], [642, 555], [640, 557], [639, 557], [637, 559], [636, 559], [634, 561], [633, 561], [632, 562], [631, 562], [629, 564], [628, 564], [628, 565], [626, 567], [625, 567], [623, 569], [622, 569], [621, 570], [620, 570], [618, 572], [617, 572], [616, 573], [615, 573], [614, 574], [613, 574], [612, 575], [611, 575], [609, 577], [608, 577], [607, 578], [606, 578], [605, 579], [604, 579], [603, 580], [602, 580], [601, 581], [600, 581], [597, 584], [596, 584], [595, 585], [594, 585], [593, 586], [592, 586], [590, 588], [589, 588], [588, 589], [587, 589], [586, 590], [585, 590], [584, 591], [583, 591], [582, 592], [581, 592], [579, 594], [577, 594], [576, 595], [575, 595], [574, 596], [573, 596], [572, 597], [571, 597], [570, 598], [569, 598], [568, 599], [567, 599], [566, 600], [564, 600], [563, 601], [562, 601], [561, 602], [560, 602], [559, 603], [557, 603], [556, 604], [555, 604], [554, 605], [553, 605], [552, 606], [550, 606], [549, 607], [548, 607], [547, 608], [546, 608], [545, 609], [542, 609], [541, 610], [538, 610], [537, 611], [534, 611], [532, 613], [528, 613], [527, 614], [524, 614], [523, 615], [519, 615], [518, 616], [514, 616], [513, 617], [510, 617], [509, 618], [508, 618], [500, 626], [500, 627], [512, 627], [513, 626], [519, 626], [520, 625], [523, 625], [524, 624], [527, 624], [528, 623], [532, 623], [534, 621], [537, 621], [538, 620], [540, 620], [541, 619], [543, 619], [544, 618], [545, 618], [546, 617], [548, 617], [549, 616], [551, 616], [552, 615], [554, 615], [555, 614], [556, 614], [557, 613], [559, 613], [560, 612], [562, 612], [563, 611], [565, 611], [566, 610], [567, 610], [568, 609], [570, 609], [571, 608], [572, 608], [573, 607], [575, 607], [576, 606], [577, 606], [579, 604], [580, 604], [582, 602], [583, 602], [584, 601], [586, 601], [587, 600], [588, 600], [589, 599], [590, 599], [591, 598], [592, 598], [593, 597], [594, 597], [595, 596], [596, 596], [597, 595], [598, 595], [599, 594], [600, 594], [601, 593], [602, 593], [603, 592], [604, 592], [605, 591], [606, 591], [607, 590], [608, 590], [609, 589], [610, 589], [612, 587], [613, 587], [614, 586], [615, 586], [616, 585], [617, 585], [618, 584], [619, 584], [621, 582], [622, 582], [623, 581], [624, 581], [627, 578], [628, 578], [629, 577], [630, 577], [632, 575], [633, 575], [634, 574], [635, 574], [635, 573], [636, 572], [637, 572], [638, 571], [639, 571], [641, 569], [642, 569], [643, 568], [644, 568], [646, 566], [647, 566], [649, 564], [650, 564], [652, 562], [653, 562], [655, 560], [656, 560], [658, 558], [659, 558], [661, 556], [662, 556], [664, 554], [665, 554], [669, 550], [670, 550], [674, 546], [675, 546], [677, 544], [678, 544], [683, 539], [684, 539], [689, 534], [689, 532], [690, 531], [690, 529], [692, 527], [693, 527], [696, 524], [697, 524], [699, 522], [700, 522], [703, 519], [704, 519], [710, 513], [710, 512], [714, 508], [714, 506], [718, 502], [718, 501], [721, 498], [721, 497], [723, 495], [723, 494], [724, 493], [724, 492], [725, 491], [725, 490], [726, 489], [726, 488], [727, 487], [727, 486], [729, 484], [729, 483], [730, 482], [730, 480], [731, 479], [731, 478], [733, 476], [733, 475], [734, 474], [734, 473], [735, 472], [735, 471], [736, 470], [736, 468], [737, 467], [737, 465], [738, 464], [738, 463], [739, 462], [739, 460], [740, 459], [740, 458], [741, 457], [741, 456], [742, 455]]"
003.png,,800,800,71,pill,84,training/color/003.png,,286.0,445.0,533.0,580.0,color,-1,"[[431, 533], [430, 534], [428, 534], [427, 535], [425, 535], [425, 536], [423, 538], [423, 539], [422, 540], [422, 545], [421, 546], [346, 546], [345, 545], [343, 545], [342, 544], [312, 544], [311, 543], [311, 542], [310, 541], [310, 540], [308, 538], [307, 538], [306, 537], [305, 537], [304, 536], [303, 536], [302, 535], [300, 535], [299, 536], [292, 536], [290, 538], [289, 538], [289, 540], [288, 541], [288, 543], [287, 544], [287, 549], [286, 550], [286, 558], [287, 559], [287, 560], [288, 561], [288, 563], [292, 567], [292, 568], [326, 568], [327, 569], [327, 570], [328, 571], [328, 572], [331, 575], [331, 576], [332, 576], [333, 577], [335, 577], [336, 578], [337, 578], [338, 579], [410, 579], [411, 580], [412, 580], [413, 579], [414, 579], [415, 578], [417, 578], [422, 573], [422, 572], [423, 571], [423, 568], [424, 567], [424, 560], [425, 559], [434, 559], [435, 558], [439, 558], [441, 556], [441, 555], [444, 552], [444, 549], [445, 548], [445, 542], [444, 541], [444, 540], [442, 538], [442, 537], [440, 535], [438, 535], [437, 534], [435, 534], [434, 533]]"
004.png,,800,800,72,pill,85,training/color/004.png,,201.0,273.0,246.0,306.0,color,-1,"[[250, 246], [249, 247], [247, 247], [246, 248], [216, 248], [215, 249], [207, 249], [206, 250], [205, 250], [202, 253], [202, 255], [201, 256], [201, 261], [202, 262], [202, 264], [203, 265], [203, 268], [206, 271], [206, 272], [208, 274], [208, 275], [209, 276], [210, 276], [211, 277], [212, 277], [213, 278], [214, 278], [216, 280], [219, 280], [220, 281], [220, 288], [221, 289], [221, 292], [222, 293], [222, 295], [223, 296], [223, 299], [224, 300], [225, 300], [229, 304], [230, 304], [231, 305], [232, 305], [233, 306], [243, 306], [244, 305], [245, 305], [246, 304], [246, 303], [247, 302], [247, 301], [248, 300], [248, 281], [249, 280], [264, 280], [268, 276], [269, 276], [271, 274], [271, 271], [272, 270], [272, 269], [273, 268], [273, 263], [271, 261], [271, 258], [270, 257], [270, 256], [269, 255], [269, 254], [268, 253], [267, 253], [262, 248], [261, 248], [260, 247], [259, 247], [258, 246]]"
005.png,,800,800,73,pill,86,training/color/005.png,,471.0,698.0,170.0,289.0,color,-1,"[[471, 170], [472, 171], [472, 175], [474, 177], [474, 180], [475, 181], [476, 181], [478, 183], [480, 183], [482, 185], [484, 185], [485, 186], [486, 186], [487, 187], [490, 187], [491, 188], [492, 188], [493, 189], [496, 189], [497, 190], [499, 190], [500, 191], [502, 191], [503, 192], [504, 192], [507, 195], [508, 195], [509, 196], [509, 198], [512, 201], [514, 201], [515, 202], [516, 202], [518, 204], [519, 204], [520, 205], [521, 205], [522, 206], [526, 206], [527, 207], [533, 207], [534, 208], [542, 208], [544, 210], [546, 210], [549, 213], [550, 213], [551, 214], [554, 214], [555, 215], [557, 215], [558, 216], [560, 216], [561, 217], [566, 217], [567, 218], [569, 218], [570, 219], [572, 219], [573, 220], [594, 220], [597, 223], [598, 223], [603, 228], [603, 229], [604, 229], [610, 235], [611, 235], [612, 236], [613, 236], [614, 237], [615, 237], [616, 238], [617, 238], [619, 240], [621, 240], [623, 242], [624, 242], [625, 243], [626, 243], [628, 245], [630, 245], [631, 246], [632, 246], [634, 248], [635, 248], [637, 250], [639, 250], [644, 255], [646, 255], [653, 262], [654, 262], [655, 263], [656, 263], [659, 266], [660, 266], [663, 269], [664, 269], [668, 273], [669, 273], [671, 275], [672, 275], [675, 278], [676, 278], [681, 283], [682, 283], [683, 284], [684, 284], [689, 289], [691, 289], [692, 288], [696, 288], [697, 287], [697, 283], [698, 282], [698, 278], [696, 276], [696, 275], [695, 274], [694, 274], [687, 267], [686, 267], [681, 262], [680, 262], [677, 259], [676, 259], [672, 255], [671, 255], [665, 249], [664, 249], [658, 243], [656, 243], [653, 240], [652, 240], [650, 238], [649, 238], [648, 237], [647, 237], [644, 234], [643, 234], [642, 233], [640, 233], [637, 230], [636, 230], [633, 227], [631, 227], [629, 225], [628, 225], [626, 223], [625, 223], [624, 222], [623, 222], [620, 219], [619, 219], [617, 217], [614, 217], [613, 216], [612, 216], [610, 214], [609, 214], [608, 213], [606, 213], [604, 211], [602, 211], [601, 210], [600, 210], [599, 209], [598, 209], [597, 208], [596, 208], [595, 207], [594, 207], [592, 205], [591, 205], [590, 204], [587, 204], [585, 202], [583, 202], [582, 201], [581, 201], [580, 200], [578, 200], [577, 199], [576, 199], [575, 198], [573, 198], [572, 197], [570, 197], [569, 196], [567, 196], [566, 195], [565, 195], [564, 194], [563, 194], [562, 193], [559, 193], [558, 192], [557, 192], [556, 191], [555, 191], [554, 190], [553, 190], [552, 189], [550, 189], [549, 188], [547, 188], [546, 187], [545, 187], [544, 186], [542, 186], [541, 185], [540, 185], [539, 184], [538, 184], [536, 182], [535, 182], [534, 181], [531, 181], [530, 180], [529, 180], [528, 179], [527, 179], [526, 178], [522, 178], [521, 177], [515, 177], [514, 176], [510, 176], [509, 175], [503, 175], [502, 174], [499, 174], [498, 173], [495, 173], [494, 172], [485, 172], [484, 171], [475, 171], [474, 170]]"
006.png,,800,800,74,pill,87,training/color/006.png,,321.0,391.0,200.0,269.0,color,-1,"[[361, 200], [360, 201], [359, 201], [358, 202], [357, 202], [355, 204], [355, 205], [354, 206], [354, 207], [353, 208], [353, 210], [352, 211], [352, 212], [351, 213], [351, 234], [350, 235], [331, 235], [329, 237], [328, 237], [327, 238], [326, 238], [324, 240], [324, 241], [323, 242], [323, 245], [322, 246], [322, 251], [321, 252], [321, 257], [322, 258], [322, 262], [327, 267], [327, 268], [329, 268], [330, 269], [334, 269], [335, 268], [338, 268], [339, 267], [340, 267], [342, 265], [381, 265], [383, 263], [384, 263], [384, 262], [386, 260], [386, 258], [387, 257], [387, 256], [389, 254], [389, 253], [390, 252], [390, 250], [391, 249], [391, 241], [387, 237], [386, 237], [385, 236], [376, 236], [375, 235], [375, 211], [374, 210], [374, 206], [372, 204], [372, 203], [371, 203], [369, 201], [368, 201], [367, 200]]"
007.png,,800,800,75,pill,88,training/color/007.png,,423.0,474.0,247.0,294.0,color,-1,"[[458, 247], [457, 248], [455, 248], [453, 250], [453, 251], [451, 253], [451, 264], [450, 265], [444, 265], [443, 266], [443, 267], [442, 268], [442, 274], [441, 275], [431, 275], [430, 276], [427, 276], [426, 277], [425, 277], [423, 279], [424, 280], [424, 286], [425, 287], [425, 289], [426, 290], [426, 291], [427, 291], [428, 292], [429, 292], [430, 293], [431, 293], [432, 294], [439, 294], [442, 291], [442, 282], [443, 281], [471, 281], [473, 279], [473, 278], [474, 277], [474, 272], [473, 271], [473, 269], [472, 268], [472, 266], [470, 264], [469, 264], [468, 263], [467, 263], [466, 262], [466, 256], [465, 255], [465, 253], [464, 252], [464, 249], [463, 249], [461, 247]]"
008.png,,800,800,76,pill,89,training/color/008.png,,594.0,617.0,436.0,461.0,color,-1,"[[604, 436], [603, 437], [600, 437], [599, 438], [596, 438], [595, 439], [595, 440], [594, 441], [594, 449], [595, 450], [595, 454], [596, 455], [596, 456], [598, 458], [598, 459], [599, 460], [602, 460], [603, 461], [608, 461], [609, 460], [612, 460], [613, 459], [614, 459], [617, 456], [617, 449], [616, 448], [616, 443], [615, 442], [615, 440], [614, 439], [614, 438], [612, 436]]"
009.png,,800,800,77,pill,90,training/color/009.png,,563.0,582.0,200.0,222.0,color,-1,"[[575, 200], [574, 201], [572, 201], [572, 202], [571, 203], [571, 204], [568, 207], [568, 208], [565, 211], [565, 212], [564, 213], [564, 214], [563, 215], [563, 219], [565, 221], [567, 221], [568, 222], [574, 222], [576, 220], [577, 220], [579, 218], [579, 217], [580, 216], [580, 215], [582, 213], [582, 206], [581, 205], [581, 202], [580, 201], [577, 201], [576, 200]]"
