imageName,imageData,imageHeight,imageWidth,img_id,part,id,img_rel_path,classification_rank,x1,x2,y1,y2,label,rank,points
000.png,,1024,1024,15,toothbrush,26,training/defective/000.png,,244,418,451,673,defective,-1,"[[354, 451], [353, 452], [352, 452], [351, 453], [350, 453], [349, 454], [347, 454], [346, 455], [345, 455], [343, 457], [342, 457], [341, 458], [340, 458], [339, 459], [338, 459], [337, 460], [335, 460], [334, 461], [333, 461], [331, 463], [330, 463], [329, 464], [292, 464], [291, 463], [287, 463], [286, 462], [282, 462], [280, 464], [280, 465], [278, 467], [278, 468], [275, 471], [275, 487], [273, 489], [271, 489], [270, 490], [269, 490], [267, 492], [266, 492], [265, 493], [263, 493], [261, 495], [258, 495], [256, 497], [255, 497], [254, 498], [253, 498], [252, 499], [250, 499], [249, 500], [248, 500], [247, 501], [244, 501], [244, 504], [245, 505], [245, 506], [250, 506], [251, 507], [263, 507], [264, 508], [264, 559], [265, 560], [265, 562], [282, 562], [283, 563], [283, 571], [284, 572], [284, 573], [285, 574], [285, 575], [308, 575], [309, 576], [309, 607], [308, 608], [307, 608], [304, 611], [303, 611], [303, 612], [301, 614], [300, 614], [299, 615], [298, 615], [294, 619], [293, 619], [291, 621], [291, 622], [290, 623], [289, 623], [288, 624], [288, 632], [285, 635], [284, 635], [278, 641], [277, 641], [272, 646], [271, 646], [269, 648], [269, 650], [268, 651], [268, 654], [273, 654], [275, 652], [300, 652], [301, 651], [332, 651], [334, 653], [334, 663], [335, 664], [359, 664], [361, 666], [361, 669], [364, 672], [364, 673], [366, 673], [367, 672], [368, 672], [370, 670], [372, 670], [374, 668], [375, 668], [376, 667], [377, 667], [380, 664], [402, 664], [402, 659], [403, 658], [403, 642], [404, 641], [408, 641], [409, 640], [409, 639], [410, 638], [410, 636], [409, 635], [409, 621], [408, 620], [408, 619], [407, 618], [407, 616], [406, 615], [406, 613], [405, 612], [405, 576], [406, 575], [406, 559], [407, 558], [407, 554], [408, 553], [408, 552], [410, 550], [410, 549], [412, 547], [412, 546], [413, 545], [413, 533], [416, 530], [417, 530], [418, 529], [418, 527], [417, 526], [417, 524], [416, 523], [416, 522], [415, 521], [415, 520], [414, 519], [414, 518], [413, 517], [413, 514], [411, 512], [411, 489], [409, 487], [408, 487], [407, 486], [407, 485], [406, 484], [405, 484], [404, 483], [402, 483], [401, 482], [401, 481], [399, 479], [398, 479], [397, 478], [396, 478], [393, 475], [392, 475], [389, 472], [387, 472], [385, 470], [361, 470], [360, 469], [359, 469], [357, 467], [355, 467], [354, 466]]"
000.png,,1024,1024,15,toothbrush,27,training/defective/000.png,,512,589,204,255,defective,-1,"[[572, 204], [571, 205], [567, 205], [566, 206], [564, 206], [563, 207], [561, 207], [560, 208], [558, 208], [557, 209], [555, 209], [554, 210], [548, 210], [547, 211], [541, 211], [540, 212], [532, 212], [531, 213], [522, 213], [521, 214], [520, 214], [519, 215], [518, 215], [517, 216], [513, 216], [513, 221], [512, 222], [513, 223], [513, 228], [515, 230], [515, 231], [518, 234], [518, 235], [522, 239], [523, 239], [524, 240], [524, 241], [526, 243], [526, 244], [530, 248], [530, 249], [533, 252], [535, 252], [536, 253], [538, 253], [539, 254], [543, 254], [544, 255], [548, 255], [549, 254], [551, 254], [552, 253], [553, 253], [554, 252], [555, 252], [556, 251], [557, 251], [558, 250], [558, 249], [560, 247], [561, 247], [563, 245], [564, 245], [564, 243], [570, 237], [570, 236], [573, 233], [574, 233], [576, 231], [576, 230], [578, 228], [578, 227], [579, 226], [579, 225], [580, 224], [580, 223], [581, 222], [581, 221], [583, 219], [583, 218], [585, 216], [586, 216], [586, 215], [587, 214], [587, 213], [588, 212], [588, 210], [589, 209], [589, 206], [588, 205], [581, 205], [580, 204]]"
001.png,,1024,1024,16,toothbrush,28,training/defective/001.png,,427,556,262,389,defective,-1,"[[514, 262], [513, 263], [502, 263], [501, 264], [501, 265], [498, 268], [497, 268], [495, 270], [495, 272], [494, 273], [494, 275], [493, 276], [493, 278], [492, 279], [492, 281], [491, 282], [491, 288], [490, 289], [490, 318], [489, 319], [478, 319], [474, 323], [474, 324], [471, 327], [460, 327], [455, 332], [454, 332], [454, 333], [449, 338], [449, 339], [448, 340], [447, 340], [446, 341], [445, 341], [442, 344], [440, 344], [439, 345], [438, 345], [435, 348], [434, 348], [433, 349], [432, 349], [429, 352], [428, 352], [427, 353], [428, 354], [428, 387], [430, 389], [431, 388], [431, 387], [433, 385], [433, 384], [435, 382], [463, 382], [466, 379], [498, 379], [499, 380], [499, 383], [500, 384], [500, 385], [501, 386], [501, 388], [505, 388], [505, 375], [506, 374], [506, 373], [505, 372], [505, 371], [504, 370], [504, 369], [503, 368], [503, 367], [501, 365], [501, 364], [500, 363], [500, 361], [499, 360], [499, 359], [498, 358], [498, 357], [497, 356], [497, 349], [496, 348], [496, 342], [493, 339], [492, 339], [491, 338], [491, 307], [492, 306], [537, 306], [538, 307], [538, 308], [542, 312], [542, 313], [543, 314], [543, 315], [544, 315], [545, 316], [546, 316], [548, 318], [549, 318], [550, 319], [552, 319], [552, 317], [554, 315], [555, 315], [555, 313], [556, 312], [556, 306], [555, 305], [555, 302], [554, 301], [554, 299], [552, 297], [552, 296], [551, 295], [551, 294], [549, 292], [549, 291], [548, 291], [547, 290], [547, 289], [546, 288], [546, 287], [542, 283], [542, 282], [541, 281], [541, 280], [540, 279], [540, 277], [539, 276], [539, 274], [538, 273], [538, 271], [537, 270], [537, 269], [536, 268], [535, 268], [534, 267], [533, 267], [531, 265], [530, 265], [529, 264], [529, 263], [528, 263], [527, 262]]"
002.png,,1024,1024,17,toothbrush,29,training/defective/002.png,,363,601,826,968,defective,-1,"[[536, 826], [535, 827], [534, 827], [529, 832], [495, 832], [494, 831], [493, 831], [492, 830], [491, 830], [489, 828], [489, 833], [488, 834], [488, 837], [487, 838], [487, 840], [486, 841], [486, 843], [485, 844], [453, 844], [451, 842], [450, 843], [446, 843], [445, 844], [443, 844], [442, 845], [441, 845], [440, 846], [440, 847], [439, 848], [439, 850], [438, 851], [438, 854], [436, 856], [404, 856], [403, 855], [402, 855], [401, 856], [400, 856], [397, 859], [397, 860], [392, 865], [392, 866], [391, 867], [390, 867], [390, 869], [389, 870], [389, 871], [387, 873], [386, 873], [386, 874], [385, 875], [385, 877], [380, 882], [380, 883], [379, 884], [379, 885], [377, 887], [377, 888], [373, 892], [373, 893], [372, 894], [372, 895], [369, 898], [368, 898], [368, 899], [367, 900], [367, 901], [364, 904], [364, 905], [363, 906], [363, 907], [364, 908], [365, 908], [367, 910], [367, 911], [367, 910], [369, 908], [370, 908], [370, 907], [372, 905], [372, 903], [373, 902], [374, 902], [377, 899], [377, 898], [379, 896], [379, 895], [384, 890], [384, 888], [389, 883], [389, 882], [390, 881], [390, 880], [391, 879], [392, 879], [395, 876], [395, 875], [397, 873], [398, 873], [399, 872], [430, 872], [431, 873], [431, 905], [430, 906], [430, 911], [429, 912], [429, 917], [428, 918], [428, 924], [431, 924], [432, 923], [433, 923], [433, 921], [434, 920], [434, 915], [435, 914], [435, 909], [436, 908], [436, 899], [437, 898], [461, 898], [461, 896], [462, 895], [499, 895], [500, 896], [500, 914], [501, 915], [501, 919], [502, 920], [509, 920], [510, 921], [510, 922], [512, 924], [512, 925], [513, 926], [513, 927], [515, 929], [515, 930], [516, 931], [517, 931], [518, 932], [518, 934], [520, 936], [520, 937], [521, 937], [523, 939], [523, 940], [524, 941], [524, 943], [526, 945], [526, 963], [528, 965], [528, 966], [540, 966], [541, 967], [541, 968], [541, 963], [542, 962], [542, 943], [541, 942], [541, 908], [542, 907], [573, 907], [574, 908], [575, 908], [576, 909], [576, 910], [577, 911], [578, 911], [579, 912], [594, 912], [595, 913], [596, 913], [597, 914], [601, 914], [601, 908], [600, 908], [599, 907], [599, 905], [596, 902], [595, 902], [593, 900], [593, 899], [591, 897], [590, 897], [589, 896], [589, 895], [588, 894], [588, 893], [587, 892], [587, 891], [583, 887], [583, 884], [582, 883], [582, 881], [581, 880], [581, 878], [578, 875], [578, 874], [577, 873], [569, 873], [568, 872], [568, 861], [567, 860], [567, 858], [564, 855], [564, 854], [563, 853], [563, 851], [561, 849], [561, 848], [559, 846], [559, 845], [558, 844], [558, 842], [557, 841], [557, 840], [553, 836], [553, 835], [552, 834], [552, 833], [551, 832], [551, 831], [550, 830], [548, 830], [546, 828], [546, 827], [537, 827]]"
002.png,,1024,1024,17,toothbrush,30,training/defective/002.png,,601,652,317,379,defective,-1,"[[633, 317], [630, 320], [629, 320], [629, 323], [627, 325], [622, 325], [621, 326], [618, 326], [615, 329], [614, 329], [613, 330], [612, 330], [610, 332], [609, 332], [606, 335], [606, 336], [605, 337], [605, 339], [604, 340], [604, 342], [603, 343], [603, 345], [602, 346], [602, 351], [601, 352], [601, 357], [602, 358], [602, 359], [603, 360], [603, 361], [606, 364], [606, 367], [607, 367], [608, 368], [609, 368], [613, 372], [614, 372], [616, 374], [616, 379], [623, 379], [626, 376], [635, 376], [636, 375], [637, 375], [638, 374], [639, 374], [640, 373], [641, 373], [643, 371], [644, 371], [645, 370], [645, 369], [647, 367], [648, 367], [649, 366], [649, 365], [651, 363], [651, 362], [652, 361], [652, 338], [650, 336], [649, 336], [648, 335], [647, 335], [645, 333], [644, 333], [643, 332], [641, 332], [639, 330], [639, 328], [638, 327], [638, 324], [637, 323], [637, 321], [634, 318], [634, 317]]"
003.png,,1024,1024,18,toothbrush,31,training/defective/003.png,,495,539,789,841,defective,-1,"[[508, 789], [508, 795], [507, 796], [507, 805], [506, 806], [505, 806], [505, 808], [504, 809], [504, 822], [503, 823], [501, 823], [500, 824], [498, 824], [498, 825], [495, 828], [495, 836], [497, 836], [498, 837], [500, 837], [501, 838], [506, 838], [507, 839], [509, 839], [510, 840], [512, 840], [513, 841], [522, 841], [523, 840], [524, 840], [525, 839], [526, 839], [527, 838], [529, 838], [529, 837], [531, 835], [531, 834], [532, 833], [533, 833], [534, 832], [534, 831], [535, 830], [535, 827], [536, 826], [536, 825], [537, 824], [537, 822], [538, 821], [538, 818], [539, 817], [539, 810], [537, 808], [537, 807], [536, 806], [536, 804], [535, 803], [535, 802], [529, 796], [529, 795], [526, 792], [524, 792], [523, 791], [521, 791], [520, 790], [518, 790], [517, 789]]"
003.png,,1024,1024,18,toothbrush,32,training/defective/003.png,,453,501,710,763,defective,-1,"[[468, 710], [467, 711], [466, 711], [465, 712], [464, 712], [464, 714], [463, 715], [463, 716], [462, 717], [462, 720], [461, 721], [461, 723], [460, 724], [460, 729], [459, 730], [459, 732], [458, 733], [458, 735], [457, 736], [457, 738], [456, 739], [455, 739], [455, 741], [454, 742], [454, 750], [453, 751], [453, 753], [454, 754], [454, 755], [456, 757], [457, 757], [458, 758], [459, 758], [461, 760], [463, 760], [464, 761], [465, 761], [466, 762], [467, 762], [468, 763], [491, 763], [491, 757], [492, 756], [493, 756], [495, 754], [495, 753], [496, 752], [496, 750], [497, 749], [497, 748], [498, 747], [498, 746], [500, 744], [500, 739], [501, 738], [501, 733], [500, 732], [500, 731], [497, 728], [495, 728], [491, 724], [491, 722], [490, 721], [490, 720], [489, 719], [489, 718], [488, 717], [488, 716], [487, 715], [486, 715], [485, 714], [484, 714], [483, 713], [482, 713], [481, 712], [480, 712], [479, 711], [478, 711], [477, 710]]"
003.png,,1024,1024,18,toothbrush,33,training/defective/003.png,,530,581,321,379,defective,-1,"[[556, 321], [555, 322], [554, 322], [553, 323], [552, 323], [551, 324], [550, 324], [549, 325], [548, 325], [547, 326], [545, 326], [544, 327], [544, 328], [543, 329], [542, 329], [542, 330], [541, 331], [540, 331], [539, 332], [538, 332], [536, 334], [536, 336], [534, 338], [533, 338], [533, 339], [531, 341], [531, 342], [530, 343], [530, 361], [532, 363], [532, 364], [534, 366], [534, 367], [536, 369], [536, 370], [537, 370], [539, 372], [540, 372], [541, 373], [542, 373], [544, 375], [546, 375], [547, 376], [548, 376], [549, 377], [551, 377], [553, 379], [564, 379], [565, 378], [567, 378], [568, 377], [569, 377], [571, 375], [572, 375], [576, 371], [576, 369], [579, 366], [579, 363], [580, 362], [580, 360], [581, 359], [581, 357], [580, 356], [580, 352], [579, 351], [579, 347], [578, 346], [578, 344], [576, 342], [576, 339], [574, 337], [574, 335], [573, 334], [573, 333], [572, 332], [571, 332], [568, 329], [567, 329], [564, 326], [563, 326], [560, 323], [559, 323], [558, 322], [558, 321]]"
003.png,,1024,1024,18,toothbrush,34,training/defective/003.png,,608,620,241,359,defective,-1,"[[611, 241], [608, 244], [608, 247], [609, 248], [609, 260], [610, 261], [610, 262], [611, 263], [611, 286], [612, 287], [612, 297], [613, 298], [613, 309], [614, 310], [614, 321], [615, 322], [615, 337], [616, 338], [616, 352], [617, 353], [617, 358], [618, 359], [619, 359], [619, 355], [620, 354], [620, 297], [619, 296], [619, 288], [618, 287], [618, 282], [617, 281], [617, 273], [616, 272], [616, 261], [615, 260], [615, 251], [614, 250], [614, 244]]"
004.png,,1024,1024,19,toothbrush,35,training/defective/004.png,,496,661,729,761,defective,-1,"[[498, 729], [497, 730], [497, 733], [496, 734], [496, 738], [497, 739], [506, 739], [507, 740], [512, 740], [513, 741], [518, 741], [519, 742], [525, 742], [526, 743], [531, 743], [532, 744], [538, 744], [539, 745], [545, 745], [546, 746], [551, 746], [552, 747], [558, 747], [559, 748], [564, 748], [565, 749], [571, 749], [572, 750], [577, 750], [578, 751], [591, 751], [592, 752], [597, 752], [599, 754], [603, 754], [604, 755], [609, 755], [610, 756], [614, 756], [615, 757], [633, 757], [634, 758], [644, 758], [645, 759], [652, 759], [653, 760], [654, 760], [655, 761], [658, 761], [659, 760], [659, 759], [661, 757], [661, 753], [660, 752], [660, 750], [659, 749], [659, 748], [658, 747], [656, 747], [655, 746], [653, 746], [652, 745], [637, 745], [636, 744], [629, 744], [628, 743], [623, 743], [622, 742], [616, 742], [615, 741], [608, 741], [607, 740], [600, 740], [599, 739], [593, 739], [592, 738], [588, 738], [587, 737], [583, 737], [582, 736], [566, 736], [565, 735], [551, 735], [550, 734], [548, 734], [547, 733], [545, 733], [544, 732], [541, 732], [540, 731], [536, 731], [535, 730], [499, 730]]"
