imageName,imageData,imageHeight,imageWidth,img_id,part,id,img_rel_path,classification_rank,x1,x2,y1,y2,label,rank,points
000.png,,1024,1024,20,transistor,21,training/bent_lead/000.png,,240,290,830,947,bent_lead,-1,"[[287, 830], [286, 831], [274, 831], [273, 832], [262, 832], [261, 833], [255, 833], [255, 834], [254, 835], [254, 839], [253, 840], [253, 844], [252, 845], [252, 850], [251, 851], [251, 856], [250, 857], [250, 863], [249, 864], [249, 869], [248, 870], [248, 877], [247, 878], [247, 885], [246, 886], [246, 893], [245, 894], [245, 901], [244, 902], [244, 907], [243, 908], [243, 913], [242, 914], [242, 919], [241, 920], [241, 925], [240, 926], [240, 945], [250, 945], [251, 946], [273, 946], [274, 947], [279, 947], [279, 942], [280, 941], [280, 924], [281, 923], [281, 912], [282, 911], [282, 903], [283, 902], [283, 894], [284, 893], [284, 884], [285, 883], [285, 875], [286, 874], [286, 865], [287, 864], [287, 856], [288, 855], [288, 847], [289, 846], [289, 837], [290, 836], [290, 831], [289, 830]]"
001.png,,1024,1024,21,transistor,22,training/bent_lead/001.png,,702,746,835,896,bent_lead,-1,"[[707, 835], [707, 840], [706, 841], [706, 851], [705, 852], [705, 861], [704, 862], [704, 870], [703, 871], [703, 879], [702, 880], [702, 887], [703, 888], [703, 892], [707, 896], [733, 896], [734, 895], [737, 895], [737, 893], [738, 892], [738, 886], [739, 885], [739, 878], [740, 877], [740, 871], [741, 870], [741, 864], [742, 863], [742, 857], [743, 856], [743, 851], [744, 850], [744, 845], [745, 844], [745, 838], [746, 837], [746, 835]]"
002.png,,1024,1024,22,transistor,23,training/bent_lead/002.png,,205,311,743,922,bent_lead,-1,"[[258, 743], [257, 744], [255, 744], [254, 745], [253, 745], [252, 746], [250, 746], [249, 747], [247, 747], [246, 748], [245, 748], [244, 749], [243, 749], [239, 753], [238, 753], [234, 757], [233, 757], [220, 770], [220, 771], [217, 774], [217, 775], [215, 777], [215, 778], [214, 779], [214, 780], [213, 781], [213, 782], [212, 783], [212, 785], [211, 786], [211, 787], [210, 788], [210, 790], [209, 791], [209, 792], [208, 793], [208, 795], [207, 796], [207, 800], [206, 801], [206, 805], [205, 806], [205, 808], [206, 809], [206, 813], [207, 814], [207, 816], [208, 817], [212, 817], [213, 818], [216, 818], [217, 819], [221, 819], [222, 820], [225, 820], [226, 821], [229, 821], [230, 822], [234, 822], [235, 823], [256, 823], [257, 824], [257, 866], [256, 867], [256, 883], [255, 884], [255, 896], [256, 897], [256, 908], [261, 913], [261, 914], [263, 916], [264, 916], [265, 917], [267, 917], [268, 918], [269, 918], [270, 919], [272, 919], [273, 920], [274, 920], [275, 921], [277, 921], [278, 922], [280, 922], [281, 921], [290, 921], [291, 920], [294, 920], [295, 919], [298, 919], [299, 918], [301, 918], [303, 916], [304, 916], [306, 914], [307, 914], [309, 912], [309, 908], [310, 907], [310, 901], [311, 900], [311, 861], [310, 860], [310, 813], [309, 812], [309, 776], [310, 775], [310, 771], [311, 770], [311, 765], [310, 764], [310, 762], [309, 761], [309, 760], [307, 758], [307, 757], [306, 757], [305, 756], [303, 756], [302, 755], [299, 755], [298, 754], [296, 754], [295, 753], [292, 753], [291, 752], [290, 752], [289, 751], [287, 751], [286, 750], [285, 750], [284, 749], [283, 749], [282, 748], [281, 748], [280, 747], [277, 747], [276, 746], [271, 746], [270, 745], [266, 745], [265, 744], [262, 744], [261, 743]]"
003.png,,1024,1024,23,transistor,24,training/bent_lead/003.png,,504,614,742,891,bent_lead,-1,"[[538, 742], [537, 743], [536, 743], [535, 744], [533, 744], [532, 745], [530, 745], [529, 746], [527, 746], [526, 747], [525, 747], [524, 748], [522, 748], [521, 749], [519, 749], [518, 750], [516, 750], [515, 751], [514, 751], [513, 752], [511, 752], [510, 753], [510, 754], [508, 756], [508, 757], [507, 758], [507, 759], [506, 760], [506, 795], [505, 796], [505, 858], [504, 859], [504, 888], [505, 888], [506, 889], [508, 889], [509, 890], [511, 890], [512, 891], [529, 891], [530, 890], [531, 890], [532, 889], [534, 889], [535, 888], [536, 888], [537, 887], [538, 887], [539, 886], [540, 886], [543, 883], [544, 883], [546, 881], [579, 881], [584, 886], [588, 886], [595, 879], [595, 878], [602, 871], [602, 870], [610, 862], [610, 861], [614, 857], [611, 854], [611, 853], [607, 849], [607, 848], [597, 838], [596, 838], [590, 832], [589, 832], [582, 825], [581, 825], [571, 815], [571, 814], [569, 812], [569, 811], [567, 809], [567, 808], [565, 806], [565, 805], [562, 802], [562, 801], [560, 799], [560, 798], [558, 796], [558, 795], [557, 794], [557, 792], [556, 791], [556, 789], [555, 788], [555, 786], [554, 785], [554, 783], [553, 782], [553, 780], [552, 779], [552, 777], [551, 776], [551, 774], [550, 773], [550, 771], [549, 770], [549, 768], [548, 767], [548, 765], [547, 764], [547, 761], [546, 760], [546, 758], [545, 757], [545, 755], [544, 754], [544, 752], [543, 751], [543, 749], [542, 748], [542, 746], [541, 745], [541, 743], [540, 742]]"
004.png,,1024,1024,24,transistor,25,training/bent_lead/004.png,,461,522,886,990,bent_lead,-1,"[[484, 886], [484, 888], [483, 889], [483, 893], [482, 894], [482, 908], [481, 909], [481, 911], [480, 912], [480, 915], [479, 916], [479, 918], [478, 919], [478, 921], [477, 922], [477, 925], [476, 926], [476, 929], [475, 930], [475, 932], [474, 933], [474, 936], [473, 937], [473, 939], [472, 940], [472, 943], [471, 944], [471, 946], [470, 947], [470, 950], [469, 951], [469, 953], [468, 954], [468, 957], [467, 958], [467, 962], [466, 963], [466, 966], [465, 967], [465, 971], [464, 972], [464, 975], [463, 976], [463, 979], [462, 980], [462, 984], [461, 985], [466, 990], [498, 990], [498, 989], [499, 988], [499, 987], [500, 986], [500, 985], [501, 984], [501, 983], [502, 982], [502, 979], [503, 978], [503, 975], [504, 974], [504, 971], [505, 970], [505, 967], [506, 966], [506, 963], [507, 962], [507, 959], [508, 958], [508, 955], [509, 954], [509, 951], [510, 950], [510, 947], [511, 946], [511, 943], [512, 942], [512, 939], [513, 938], [513, 934], [514, 933], [514, 930], [515, 929], [515, 926], [516, 925], [516, 922], [517, 921], [517, 918], [518, 917], [518, 914], [519, 913], [519, 908], [520, 907], [520, 903], [521, 902], [521, 898], [522, 897], [522, 893], [515, 893], [514, 892], [505, 892], [504, 891], [499, 891], [498, 890], [495, 890], [494, 889], [492, 889], [491, 888], [489, 888], [488, 887], [486, 887], [485, 886]]"
000.png,,1024,1024,25,transistor,26,training/cut_lead/000.png,,235,374,786,941,cut_lead,-1,"[[313, 786], [313, 787], [311, 789], [311, 790], [309, 792], [309, 793], [308, 794], [308, 795], [306, 797], [306, 798], [305, 799], [305, 800], [303, 802], [303, 803], [301, 805], [301, 806], [300, 807], [300, 808], [296, 812], [296, 813], [292, 817], [292, 818], [287, 823], [287, 824], [278, 833], [278, 834], [264, 848], [263, 848], [258, 853], [257, 853], [255, 855], [254, 855], [253, 856], [252, 856], [251, 857], [250, 857], [245, 862], [245, 863], [243, 865], [243, 866], [242, 867], [242, 868], [241, 869], [241, 870], [240, 871], [240, 872], [239, 873], [239, 874], [238, 875], [238, 877], [237, 878], [237, 882], [236, 883], [236, 890], [235, 891], [235, 894], [236, 895], [236, 905], [237, 906], [237, 909], [238, 910], [238, 912], [239, 913], [239, 915], [240, 916], [240, 917], [241, 918], [241, 919], [242, 920], [242, 921], [243, 922], [243, 923], [247, 927], [248, 927], [252, 931], [253, 931], [255, 933], [256, 933], [258, 935], [259, 935], [260, 936], [261, 936], [262, 937], [263, 937], [264, 938], [266, 938], [267, 939], [269, 939], [270, 940], [271, 940], [272, 941], [286, 941], [287, 940], [290, 940], [291, 939], [293, 939], [294, 938], [296, 938], [297, 937], [298, 937], [299, 936], [301, 936], [302, 935], [303, 935], [308, 930], [309, 930], [313, 926], [313, 925], [316, 922], [316, 921], [320, 917], [320, 916], [322, 914], [322, 913], [323, 912], [323, 904], [324, 903], [324, 890], [325, 889], [325, 880], [326, 879], [326, 878], [328, 876], [328, 875], [330, 873], [330, 872], [332, 870], [332, 869], [333, 868], [333, 867], [336, 864], [336, 863], [340, 859], [340, 858], [345, 853], [345, 852], [348, 849], [348, 848], [349, 847], [349, 846], [350, 845], [350, 844], [351, 843], [351, 842], [353, 840], [353, 839], [354, 838], [354, 837], [355, 836], [355, 835], [357, 833], [357, 832], [358, 831], [358, 830], [359, 829], [359, 828], [361, 826], [361, 825], [362, 824], [362, 823], [363, 822], [363, 821], [365, 819], [365, 818], [366, 817], [366, 816], [367, 815], [367, 814], [369, 812], [369, 811], [370, 810], [370, 808], [371, 807], [371, 806], [372, 805], [372, 803], [373, 802], [373, 801], [374, 800], [374, 798], [372, 798], [371, 797], [368, 797], [367, 796], [365, 796], [364, 795], [362, 795], [361, 794], [345, 794], [344, 793], [342, 793], [341, 792], [338, 792], [337, 791], [334, 791], [333, 790], [331, 790], [330, 789], [327, 789], [326, 788], [322, 788], [321, 787], [317, 787], [316, 786]]"
001.png,,1024,1024,26,transistor,27,training/cut_lead/001.png,,616,790,696,923,cut_lead,-1,"[[643, 696], [642, 697], [641, 697], [640, 698], [638, 698], [637, 699], [635, 699], [634, 700], [633, 700], [632, 701], [631, 701], [629, 703], [628, 703], [627, 704], [626, 704], [624, 706], [623, 706], [622, 707], [621, 707], [619, 709], [618, 709], [618, 711], [617, 712], [617, 714], [616, 715], [616, 717], [619, 720], [619, 721], [622, 724], [622, 725], [625, 728], [625, 729], [628, 732], [628, 733], [630, 735], [630, 736], [633, 739], [633, 740], [636, 743], [636, 744], [639, 747], [639, 748], [642, 751], [642, 752], [644, 754], [644, 755], [647, 758], [647, 759], [650, 762], [650, 763], [653, 766], [653, 767], [656, 770], [656, 771], [657, 772], [657, 773], [658, 774], [658, 775], [659, 776], [659, 778], [660, 779], [660, 780], [661, 781], [661, 782], [662, 783], [662, 784], [663, 785], [663, 786], [664, 787], [664, 788], [665, 789], [665, 790], [666, 791], [666, 792], [667, 793], [667, 794], [668, 795], [668, 796], [669, 797], [669, 798], [670, 799], [670, 800], [671, 801], [671, 802], [672, 803], [672, 804], [673, 805], [673, 806], [674, 807], [674, 808], [675, 809], [675, 811], [676, 812], [676, 813], [677, 814], [677, 816], [678, 817], [678, 818], [679, 819], [679, 821], [680, 822], [680, 823], [681, 824], [681, 825], [682, 826], [682, 828], [683, 829], [683, 830], [684, 831], [684, 833], [685, 834], [685, 835], [686, 836], [686, 838], [687, 839], [687, 843], [688, 844], [688, 847], [689, 848], [689, 851], [690, 852], [690, 855], [691, 856], [691, 859], [692, 860], [692, 863], [693, 864], [693, 866], [694, 867], [694, 869], [695, 870], [695, 872], [696, 873], [696, 875], [697, 876], [697, 878], [698, 879], [698, 880], [699, 881], [699, 883], [700, 884], [700, 886], [701, 887], [701, 889], [702, 890], [702, 892], [703, 893], [703, 895], [704, 896], [704, 898], [705, 899], [705, 900], [706, 901], [706, 903], [707, 904], [707, 905], [712, 910], [713, 910], [719, 916], [720, 916], [724, 920], [727, 920], [728, 921], [730, 921], [731, 922], [734, 922], [735, 923], [750, 923], [751, 922], [754, 922], [755, 921], [757, 921], [758, 920], [760, 920], [761, 919], [764, 919], [765, 918], [767, 918], [774, 911], [774, 910], [780, 904], [780, 903], [784, 899], [784, 898], [785, 897], [785, 896], [786, 895], [786, 894], [787, 893], [787, 892], [788, 891], [788, 890], [789, 889], [789, 888], [790, 887], [790, 875], [789, 874], [789, 871], [788, 870], [788, 867], [787, 866], [787, 862], [786, 861], [786, 858], [785, 857], [785, 853], [784, 852], [784, 849], [783, 848], [783, 845], [782, 844], [782, 840], [781, 839], [781, 836], [780, 835], [780, 833], [779, 832], [779, 831], [777, 829], [777, 828], [776, 827], [776, 826], [775, 825], [775, 824], [774, 823], [774, 822], [772, 820], [772, 819], [771, 818], [771, 817], [770, 816], [770, 815], [769, 814], [769, 813], [767, 811], [767, 810], [766, 809], [766, 808], [765, 807], [765, 806], [764, 805], [764, 804], [762, 802], [762, 801], [761, 800], [761, 799], [760, 798], [760, 797], [759, 796], [759, 795], [757, 793], [757, 792], [756, 791], [756, 790], [755, 789], [755, 787], [754, 786], [754, 784], [753, 783], [753, 782], [752, 781], [752, 779], [751, 778], [751, 776], [750, 775], [750, 773], [749, 772], [749, 771], [748, 770], [748, 768], [747, 767], [747, 766], [746, 765], [745, 765], [742, 762], [741, 762], [737, 758], [736, 758], [733, 755], [732, 755], [728, 751], [727, 751], [724, 748], [723, 748], [719, 744], [718, 744], [715, 741], [714, 741], [710, 737], [709, 737], [706, 734], [705, 734], [701, 730], [700, 730], [697, 727], [696, 727], [692, 723], [691, 723], [688, 720], [687, 720], [684, 717], [683, 717], [679, 713], [678, 713], [675, 710], [674, 710], [670, 706], [669, 706], [666, 703], [665, 703], [661, 699], [660, 699], [657, 696]]"
002.png,,1024,1024,27,transistor,28,training/cut_lead/002.png,,463,555,731,889,cut_lead,-1,"[[510, 731], [509, 732], [506, 732], [505, 733], [501, 733], [500, 734], [498, 734], [497, 735], [495, 735], [494, 736], [493, 736], [492, 737], [490, 737], [489, 738], [487, 738], [486, 739], [484, 739], [483, 740], [481, 740], [480, 741], [478, 741], [477, 742], [475, 742], [474, 743], [474, 745], [473, 746], [473, 773], [472, 774], [472, 785], [471, 786], [471, 797], [470, 798], [470, 807], [469, 808], [469, 811], [468, 812], [468, 816], [467, 817], [467, 820], [466, 821], [466, 825], [465, 826], [465, 829], [464, 830], [464, 834], [463, 835], [463, 845], [464, 846], [464, 850], [465, 851], [465, 854], [466, 855], [466, 857], [467, 858], [467, 860], [468, 861], [468, 862], [470, 864], [470, 865], [471, 866], [471, 867], [473, 869], [473, 870], [475, 872], [475, 873], [477, 875], [477, 876], [478, 876], [486, 884], [487, 884], [488, 885], [491, 885], [492, 886], [494, 886], [495, 887], [498, 887], [499, 888], [506, 888], [507, 889], [515, 889], [516, 888], [520, 888], [521, 887], [524, 887], [525, 886], [526, 886], [527, 885], [528, 885], [529, 884], [530, 884], [531, 883], [532, 883], [533, 882], [534, 882], [535, 881], [536, 881], [543, 874], [543, 873], [546, 870], [546, 869], [548, 867], [548, 866], [549, 865], [549, 864], [551, 862], [551, 861], [552, 860], [552, 856], [553, 855], [553, 850], [554, 849], [554, 841], [555, 840], [555, 836], [554, 835], [554, 830], [553, 829], [553, 826], [552, 825], [552, 823], [551, 822], [551, 820], [550, 819], [550, 818], [549, 817], [549, 815], [548, 814], [548, 812], [547, 811], [547, 810], [546, 809], [546, 807], [545, 806], [545, 804], [544, 803], [544, 802], [543, 801], [543, 799], [542, 798], [542, 796], [541, 795], [541, 794], [540, 793], [540, 791], [539, 790], [539, 788], [538, 787], [538, 786], [537, 785], [537, 783], [536, 782], [536, 780], [535, 779], [535, 778], [534, 777], [534, 775], [533, 774], [533, 772], [532, 771], [532, 769], [531, 768], [531, 767], [530, 766], [530, 764], [529, 763], [529, 761], [528, 760], [528, 759], [527, 758], [527, 753], [526, 752], [526, 747], [525, 746], [525, 742], [524, 741], [524, 736], [523, 735], [523, 733], [522, 732], [522, 731]]"
003.png,,1024,1024,28,transistor,29,training/cut_lead/003.png,,234,386,668,912,cut_lead,-1,"[[348, 668], [347, 669], [343, 669], [343, 671], [342, 672], [342, 674], [341, 675], [341, 677], [340, 678], [340, 680], [339, 681], [339, 685], [338, 686], [338, 689], [337, 690], [337, 693], [336, 694], [336, 697], [335, 698], [335, 701], [334, 702], [334, 704], [333, 705], [333, 706], [332, 707], [332, 708], [331, 709], [331, 710], [330, 711], [330, 712], [329, 713], [329, 714], [328, 715], [328, 716], [327, 717], [327, 718], [326, 719], [326, 720], [325, 721], [325, 722], [324, 723], [324, 724], [323, 725], [323, 726], [322, 727], [322, 728], [321, 729], [321, 730], [320, 731], [320, 732], [319, 733], [319, 734], [315, 738], [315, 739], [310, 744], [310, 745], [306, 749], [306, 750], [301, 755], [301, 756], [295, 762], [295, 763], [282, 776], [282, 777], [267, 792], [267, 793], [251, 809], [251, 810], [250, 811], [250, 812], [249, 813], [249, 814], [248, 815], [248, 817], [247, 818], [247, 819], [246, 820], [246, 821], [245, 822], [245, 824], [244, 825], [244, 826], [243, 827], [243, 828], [242, 829], [242, 831], [241, 832], [241, 833], [240, 834], [240, 835], [239, 836], [239, 840], [238, 841], [238, 845], [237, 846], [237, 849], [236, 850], [236, 854], [235, 855], [235, 859], [234, 860], [234, 867], [235, 868], [235, 873], [236, 874], [236, 879], [237, 880], [237, 883], [239, 885], [239, 886], [240, 887], [240, 888], [241, 889], [241, 890], [243, 892], [243, 893], [244, 894], [244, 895], [253, 904], [254, 904], [256, 906], [257, 906], [258, 907], [259, 907], [261, 909], [262, 909], [263, 910], [264, 910], [265, 911], [274, 911], [275, 912], [284, 912], [285, 911], [287, 911], [288, 910], [289, 910], [290, 909], [292, 909], [293, 908], [295, 908], [296, 907], [297, 907], [298, 906], [300, 906], [301, 905], [302, 905], [310, 897], [311, 897], [315, 893], [315, 892], [316, 891], [316, 890], [317, 889], [317, 888], [318, 887], [318, 885], [319, 884], [319, 883], [320, 882], [320, 879], [321, 878], [321, 876], [322, 875], [322, 872], [323, 871], [323, 868], [324, 867], [324, 855], [323, 854], [323, 817], [324, 816], [324, 813], [325, 812], [325, 809], [326, 808], [326, 804], [327, 803], [327, 800], [328, 799], [328, 798], [329, 797], [329, 796], [330, 795], [330, 793], [331, 792], [331, 791], [332, 790], [332, 789], [333, 788], [333, 787], [334, 786], [334, 784], [335, 783], [335, 782], [336, 781], [336, 780], [337, 779], [337, 778], [338, 777], [338, 775], [339, 774], [339, 773], [340, 772], [340, 771], [341, 770], [341, 769], [342, 768], [342, 766], [343, 765], [343, 764], [344, 763], [344, 762], [345, 761], [345, 760], [347, 758], [347, 757], [348, 756], [348, 755], [349, 754], [349, 753], [350, 752], [350, 751], [351, 750], [351, 749], [353, 747], [353, 746], [354, 745], [354, 744], [355, 743], [355, 742], [356, 741], [356, 740], [357, 739], [357, 738], [359, 736], [359, 735], [360, 734], [360, 733], [361, 732], [361, 731], [362, 730], [362, 729], [363, 728], [363, 727], [364, 726], [364, 724], [365, 723], [365, 722], [366, 721], [366, 719], [367, 718], [367, 717], [368, 716], [368, 715], [369, 714], [369, 712], [370, 711], [370, 710], [371, 709], [371, 708], [372, 707], [372, 706], [373, 705], [373, 704], [374, 703], [374, 702], [375, 701], [375, 700], [376, 699], [376, 698], [377, 697], [377, 696], [378, 695], [378, 694], [379, 693], [379, 692], [383, 688], [383, 687], [384, 686], [384, 685], [385, 684], [385, 677], [386, 676], [386, 673], [384, 673], [383, 672], [381, 672], [380, 671], [377, 671], [376, 670], [374, 670], [373, 669], [360, 669], [359, 668]]"
004.png,,1024,1024,29,transistor,30,training/cut_lead/004.png,,468,559,625,897,cut_lead,-1,"[[489, 625], [487, 627], [486, 627], [485, 628], [484, 628], [484, 629], [483, 630], [483, 631], [482, 632], [482, 633], [481, 634], [481, 635], [480, 636], [480, 637], [479, 638], [479, 659], [478, 660], [478, 688], [477, 689], [477, 717], [476, 718], [476, 745], [475, 746], [475, 766], [474, 767], [474, 787], [473, 788], [473, 806], [472, 807], [472, 816], [471, 817], [471, 827], [470, 828], [470, 837], [469, 838], [469, 848], [468, 849], [468, 851], [469, 852], [469, 861], [470, 862], [470, 864], [471, 865], [471, 867], [473, 869], [473, 870], [474, 871], [474, 872], [475, 873], [475, 874], [476, 875], [476, 876], [479, 879], [479, 880], [481, 882], [481, 883], [483, 885], [484, 885], [486, 887], [487, 887], [489, 889], [490, 889], [492, 891], [493, 891], [495, 893], [496, 893], [497, 894], [498, 894], [499, 895], [501, 895], [502, 896], [505, 896], [506, 897], [521, 897], [522, 896], [525, 896], [526, 895], [528, 895], [529, 894], [531, 894], [532, 893], [535, 893], [536, 892], [537, 892], [539, 890], [540, 890], [542, 888], [543, 888], [547, 884], [547, 883], [548, 882], [548, 881], [549, 880], [549, 879], [551, 877], [551, 876], [553, 874], [553, 873], [554, 872], [554, 871], [556, 869], [556, 866], [557, 865], [557, 861], [558, 860], [558, 857], [559, 856], [559, 854], [558, 853], [558, 850], [557, 849], [557, 843], [556, 842], [556, 836], [555, 835], [555, 832], [554, 831], [554, 828], [553, 827], [553, 824], [552, 823], [552, 820], [551, 819], [551, 816], [550, 815], [550, 811], [549, 810], [549, 806], [548, 805], [548, 797], [547, 796], [547, 788], [546, 787], [546, 779], [545, 778], [545, 770], [544, 769], [544, 763], [543, 762], [543, 755], [542, 754], [542, 747], [541, 746], [541, 740], [540, 739], [540, 732], [539, 731], [539, 724], [538, 723], [538, 717], [537, 716], [537, 709], [536, 708], [536, 701], [535, 700], [535, 693], [534, 692], [534, 685], [533, 684], [533, 677], [532, 676], [532, 669], [531, 668], [531, 662], [530, 661], [530, 657], [529, 656], [529, 654], [528, 653], [528, 651], [527, 650], [527, 648], [526, 647], [526, 645], [525, 644], [525, 642], [524, 641], [524, 639], [523, 638], [523, 637], [522, 636], [522, 635], [520, 633], [520, 632], [517, 629], [516, 629], [514, 627], [512, 627], [511, 626], [508, 626], [507, 625]]"
