imageName,imageData,imageHeight,imageWidth,img_id,part,id,img_rel_path,classification_rank,x1,x2,y1,y2,label,rank,points
000.png,,1024,1024,28,wood,70,training/color/000.png,,191.0,390.0,648.0,741.0,color,-1,"[[313, 648], [312, 649], [309, 649], [308, 650], [307, 650], [306, 651], [302, 651], [301, 652], [300, 652], [299, 653], [296, 653], [295, 654], [294, 654], [293, 655], [287, 655], [286, 656], [284, 656], [283, 657], [259, 657], [258, 658], [251, 658], [250, 659], [239, 659], [238, 660], [234, 660], [233, 661], [222, 661], [221, 662], [217, 662], [216, 663], [206, 663], [205, 664], [201, 664], [200, 665], [194, 665], [193, 666], [193, 670], [192, 671], [192, 672], [191, 673], [191, 675], [194, 678], [194, 679], [198, 683], [207, 683], [208, 684], [212, 684], [213, 685], [215, 685], [217, 687], [217, 689], [218, 690], [218, 694], [219, 695], [219, 696], [220, 697], [220, 702], [222, 704], [222, 706], [224, 708], [224, 709], [226, 711], [227, 711], [228, 712], [231, 712], [232, 713], [234, 713], [235, 714], [239, 714], [240, 715], [241, 715], [242, 716], [247, 716], [248, 717], [252, 717], [253, 718], [255, 718], [256, 719], [261, 719], [262, 720], [263, 720], [264, 721], [266, 721], [267, 722], [268, 722], [269, 723], [271, 723], [273, 725], [275, 725], [277, 727], [278, 727], [280, 729], [281, 729], [283, 731], [284, 731], [286, 733], [287, 733], [288, 734], [289, 734], [290, 735], [295, 735], [296, 736], [298, 736], [299, 737], [303, 737], [304, 738], [306, 738], [307, 739], [311, 739], [312, 740], [318, 740], [319, 741], [364, 741], [368, 737], [369, 737], [369, 736], [373, 732], [373, 730], [374, 729], [374, 728], [375, 727], [375, 724], [376, 723], [376, 720], [377, 719], [377, 718], [378, 717], [378, 715], [379, 714], [379, 713], [380, 712], [380, 711], [382, 709], [382, 708], [384, 706], [384, 705], [385, 704], [386, 704], [386, 703], [388, 701], [388, 696], [389, 695], [389, 691], [390, 690], [389, 689], [389, 686], [388, 685], [388, 677], [387, 676], [387, 673], [386, 672], [386, 669], [385, 669], [383, 667], [382, 667], [378, 663], [377, 663], [376, 662], [376, 661], [375, 661], [373, 659], [372, 659], [371, 658], [371, 657], [368, 657], [367, 656], [366, 656], [365, 655], [362, 655], [361, 654], [359, 654], [358, 653], [354, 653], [353, 652], [352, 652], [351, 651], [348, 651], [347, 650], [343, 650], [342, 649], [332, 649], [331, 648]]"
000.png,,1024,1024,28,wood,71,training/color/000.png,,634.0,751.0,335.0,395.0,color,-1,"[[662, 335], [661, 336], [657, 336], [656, 337], [655, 337], [654, 338], [653, 338], [652, 339], [651, 339], [650, 340], [649, 340], [648, 341], [647, 341], [646, 342], [644, 342], [642, 344], [641, 344], [638, 347], [638, 348], [636, 350], [636, 352], [634, 354], [634, 358], [635, 359], [635, 360], [636, 361], [636, 362], [637, 363], [637, 364], [638, 365], [638, 366], [639, 367], [639, 368], [640, 369], [640, 370], [641, 370], [642, 371], [643, 371], [644, 372], [645, 372], [646, 373], [646, 374], [648, 374], [649, 375], [649, 376], [650, 376], [651, 377], [652, 377], [653, 378], [654, 378], [655, 379], [657, 379], [659, 381], [662, 381], [664, 383], [666, 383], [667, 384], [668, 384], [669, 385], [672, 385], [673, 386], [674, 386], [675, 387], [678, 387], [679, 388], [680, 388], [681, 389], [683, 389], [684, 390], [685, 390], [686, 391], [691, 391], [692, 392], [697, 392], [698, 393], [708, 393], [709, 394], [722, 394], [723, 395], [740, 395], [741, 394], [742, 394], [743, 393], [748, 393], [749, 392], [750, 392], [751, 391], [751, 389], [750, 388], [750, 381], [749, 380], [749, 377], [748, 376], [748, 374], [747, 374], [744, 371], [743, 371], [740, 368], [739, 368], [738, 367], [738, 366], [737, 366], [735, 364], [733, 364], [732, 363], [731, 363], [730, 362], [729, 362], [728, 361], [727, 361], [726, 360], [723, 360], [721, 358], [720, 358], [718, 356], [718, 355], [713, 350], [713, 349], [710, 346], [708, 346], [706, 344], [704, 344], [702, 342], [700, 342], [699, 341], [697, 341], [696, 340], [694, 340], [693, 339], [688, 339], [687, 338], [686, 338], [685, 337], [680, 337], [679, 336], [677, 336], [676, 335]]"
000.png,,1024,1024,28,wood,72,training/color/000.png,,308.0,425.0,259.0,328.0,color,-1,"[[319, 259], [317, 261], [316, 261], [314, 263], [313, 263], [313, 264], [312, 265], [311, 265], [310, 266], [309, 266], [309, 270], [308, 271], [308, 290], [309, 291], [309, 292], [311, 294], [311, 297], [312, 298], [312, 299], [313, 300], [313, 303], [315, 305], [315, 307], [316, 308], [318, 308], [319, 309], [320, 309], [322, 311], [323, 311], [325, 313], [326, 313], [327, 314], [327, 315], [328, 315], [330, 317], [331, 317], [333, 319], [334, 319], [336, 321], [345, 321], [346, 322], [347, 322], [348, 323], [349, 323], [350, 324], [351, 324], [352, 325], [353, 325], [354, 326], [354, 327], [361, 327], [362, 328], [366, 328], [367, 327], [370, 327], [371, 326], [372, 326], [373, 325], [384, 325], [385, 324], [388, 324], [389, 323], [393, 323], [395, 321], [396, 321], [396, 320], [397, 319], [398, 319], [399, 318], [419, 318], [420, 317], [422, 317], [422, 316], [423, 315], [423, 314], [424, 313], [424, 312], [425, 311], [425, 308], [424, 308], [423, 307], [423, 305], [421, 303], [421, 301], [419, 299], [419, 298], [399, 298], [398, 297], [397, 297], [396, 296], [391, 296], [390, 295], [389, 295], [388, 294], [383, 294], [382, 293], [381, 293], [380, 292], [376, 292], [375, 291], [373, 291], [372, 290], [368, 290], [367, 289], [365, 289], [363, 287], [363, 286], [362, 286], [361, 285], [361, 284], [358, 281], [358, 280], [355, 277], [355, 276], [354, 276], [353, 275], [353, 274], [352, 274], [351, 273], [350, 273], [349, 272], [349, 271], [348, 271], [347, 270], [347, 269], [346, 269], [345, 268], [344, 268], [343, 267], [342, 267], [340, 265], [337, 265], [335, 263], [333, 263], [332, 262], [331, 262], [330, 261], [327, 261], [326, 260], [324, 260], [323, 259]]"
001.png,,1024,1024,29,wood,73,training/color/001.png,,268.0,590.0,355.0,516.0,color,-1,"[[415, 355], [414, 356], [407, 356], [406, 357], [403, 357], [402, 358], [394, 358], [393, 359], [368, 359], [367, 360], [365, 360], [363, 362], [329, 362], [328, 361], [327, 361], [326, 360], [322, 360], [321, 361], [316, 361], [315, 362], [304, 362], [303, 363], [302, 363], [301, 364], [298, 364], [297, 365], [296, 365], [295, 366], [292, 366], [291, 367], [289, 367], [288, 368], [285, 368], [283, 370], [282, 370], [281, 371], [280, 371], [279, 372], [278, 372], [277, 373], [276, 373], [275, 374], [274, 374], [272, 376], [271, 376], [270, 377], [270, 381], [269, 382], [269, 394], [268, 395], [269, 396], [269, 399], [271, 401], [271, 403], [273, 405], [273, 407], [274, 408], [274, 410], [276, 412], [276, 414], [277, 415], [277, 421], [278, 422], [278, 430], [279, 431], [279, 434], [280, 435], [280, 440], [281, 441], [281, 442], [282, 443], [282, 446], [283, 447], [283, 448], [284, 449], [284, 452], [285, 453], [285, 454], [286, 455], [286, 458], [287, 459], [287, 460], [288, 461], [288, 466], [289, 467], [289, 470], [290, 471], [290, 477], [291, 478], [291, 480], [292, 481], [293, 481], [296, 484], [297, 484], [298, 485], [298, 486], [299, 486], [302, 489], [303, 489], [306, 492], [307, 492], [308, 493], [308, 494], [313, 499], [313, 500], [314, 500], [315, 501], [315, 502], [316, 502], [317, 503], [317, 504], [318, 504], [319, 505], [319, 506], [320, 506], [321, 507], [323, 507], [324, 508], [327, 508], [328, 509], [330, 509], [331, 510], [334, 510], [335, 511], [336, 511], [337, 512], [341, 512], [342, 513], [366, 513], [367, 514], [400, 514], [401, 515], [416, 515], [417, 516], [429, 516], [430, 515], [434, 515], [435, 514], [437, 514], [438, 513], [441, 513], [442, 512], [446, 512], [447, 511], [448, 511], [449, 510], [452, 510], [453, 509], [454, 509], [455, 508], [457, 508], [458, 507], [459, 507], [460, 506], [462, 506], [463, 505], [464, 505], [465, 504], [468, 504], [469, 503], [470, 503], [471, 502], [477, 502], [478, 501], [481, 501], [482, 500], [488, 500], [489, 499], [491, 499], [492, 498], [499, 498], [499, 497], [500, 496], [500, 495], [501, 494], [501, 492], [502, 491], [502, 490], [503, 489], [503, 487], [504, 486], [504, 485], [505, 484], [505, 480], [506, 479], [506, 478], [507, 477], [507, 472], [508, 471], [508, 470], [509, 469], [509, 465], [510, 464], [510, 462], [511, 461], [511, 458], [512, 457], [512, 453], [516, 449], [517, 449], [519, 447], [520, 447], [522, 445], [524, 445], [525, 444], [526, 444], [528, 442], [529, 442], [531, 440], [532, 440], [534, 438], [575, 438], [577, 436], [578, 436], [581, 433], [582, 433], [585, 430], [586, 430], [588, 428], [589, 428], [590, 427], [589, 427], [588, 426], [583, 426], [582, 425], [580, 425], [579, 424], [576, 424], [575, 423], [574, 423], [573, 422], [570, 422], [569, 421], [567, 421], [566, 420], [563, 420], [562, 419], [560, 419], [559, 418], [556, 418], [555, 417], [554, 417], [553, 416], [550, 416], [549, 415], [547, 415], [546, 414], [543, 414], [542, 413], [520, 413], [519, 412], [514, 412], [513, 411], [511, 411], [510, 410], [507, 410], [506, 409], [505, 409], [503, 407], [502, 407], [501, 406], [501, 405], [500, 405], [498, 403], [497, 403], [495, 401], [494, 401], [493, 400], [493, 399], [492, 399], [489, 396], [488, 396], [484, 392], [484, 391], [483, 390], [483, 388], [482, 387], [482, 386], [481, 385], [481, 383], [480, 382], [480, 381], [478, 379], [477, 379], [475, 377], [474, 377], [473, 376], [472, 376], [470, 374], [469, 374], [466, 371], [465, 371], [464, 370], [463, 370], [462, 369], [462, 368], [460, 368], [459, 367], [457, 367], [456, 366], [452, 366], [451, 365], [450, 365], [449, 364], [445, 364], [444, 363], [442, 363], [441, 362], [438, 362], [437, 361], [435, 361], [434, 360], [430, 360], [429, 359], [428, 359], [427, 358], [422, 358], [421, 357], [420, 357], [419, 356], [416, 356]]"
001.png,,1024,1024,29,wood,74,training/color/001.png,,641.0,770.0,118.0,253.0,color,-1,"[[675, 118], [674, 119], [668, 119], [667, 120], [665, 120], [664, 121], [661, 121], [660, 122], [659, 122], [658, 123], [657, 123], [657, 142], [655, 144], [655, 145], [652, 148], [652, 149], [651, 150], [651, 151], [650, 152], [649, 152], [649, 153], [643, 159], [642, 159], [642, 170], [641, 171], [641, 177], [643, 179], [644, 179], [649, 184], [664, 184], [665, 185], [666, 185], [667, 186], [667, 187], [668, 187], [670, 189], [671, 189], [675, 193], [676, 193], [677, 194], [677, 195], [678, 195], [679, 196], [679, 197], [680, 197], [684, 201], [687, 201], [689, 203], [691, 203], [692, 204], [693, 204], [694, 205], [697, 205], [699, 207], [699, 211], [700, 212], [700, 220], [701, 221], [701, 225], [702, 226], [702, 230], [703, 231], [703, 232], [704, 233], [704, 234], [706, 236], [706, 238], [708, 240], [708, 241], [709, 242], [709, 243], [710, 244], [710, 245], [711, 246], [711, 247], [714, 247], [715, 248], [716, 248], [717, 249], [720, 249], [721, 250], [722, 250], [723, 251], [726, 251], [727, 252], [728, 252], [729, 253], [734, 253], [735, 252], [740, 252], [742, 250], [742, 249], [748, 243], [748, 242], [749, 241], [750, 241], [750, 240], [752, 238], [752, 237], [755, 234], [755, 233], [757, 231], [757, 230], [759, 228], [759, 227], [760, 226], [761, 226], [761, 222], [762, 221], [762, 218], [763, 217], [763, 207], [764, 206], [764, 204], [765, 203], [765, 200], [766, 199], [766, 198], [767, 197], [767, 193], [768, 192], [768, 191], [769, 190], [769, 181], [770, 180], [770, 170], [769, 169], [769, 167], [768, 166], [768, 165], [767, 164], [767, 162], [766, 161], [766, 160], [765, 159], [765, 156], [764, 155], [764, 154], [763, 153], [763, 151], [761, 149], [761, 146], [759, 144], [759, 142], [758, 141], [758, 140], [757, 139], [757, 137], [755, 135], [755, 133], [754, 132], [754, 131], [753, 130], [753, 128], [752, 127], [752, 126], [751, 125], [751, 124], [750, 123], [747, 123], [745, 121], [743, 121], [742, 120], [741, 120], [740, 119], [734, 119], [734, 128], [733, 129], [699, 129], [698, 128], [694, 128], [693, 127], [692, 127], [689, 124], [688, 124], [687, 123], [686, 123], [685, 122], [685, 121], [683, 121], [682, 120], [681, 120], [680, 119], [679, 119], [678, 118]]"
002.png,,1024,1024,30,wood,75,training/color/002.png,,265.0,562.0,335.0,585.0,color,-1,"[[294, 335], [292, 337], [291, 337], [289, 339], [288, 339], [288, 340], [287, 341], [286, 341], [286, 343], [285, 344], [285, 345], [284, 346], [284, 351], [283, 352], [283, 353], [282, 354], [282, 359], [281, 360], [281, 361], [280, 362], [280, 367], [279, 368], [279, 370], [278, 371], [278, 375], [277, 376], [277, 378], [276, 379], [276, 384], [275, 385], [275, 390], [274, 391], [274, 401], [273, 402], [273, 412], [272, 413], [272, 418], [271, 419], [271, 429], [270, 430], [270, 435], [269, 436], [269, 472], [268, 473], [267, 473], [267, 474], [265, 476], [265, 478], [267, 480], [267, 481], [269, 483], [269, 485], [271, 487], [271, 488], [272, 489], [272, 492], [273, 493], [273, 498], [274, 499], [274, 504], [275, 505], [275, 508], [276, 509], [276, 514], [280, 518], [280, 519], [281, 519], [282, 520], [282, 521], [283, 521], [284, 522], [284, 523], [285, 523], [286, 524], [287, 524], [288, 525], [289, 525], [291, 527], [292, 527], [294, 529], [295, 529], [297, 531], [298, 531], [300, 533], [301, 533], [302, 534], [303, 534], [304, 535], [305, 535], [307, 537], [308, 537], [310, 539], [311, 539], [312, 540], [314, 540], [315, 541], [320, 541], [321, 542], [322, 542], [323, 543], [328, 543], [329, 544], [331, 544], [332, 545], [337, 545], [338, 546], [340, 546], [341, 547], [345, 547], [346, 548], [351, 548], [352, 549], [354, 549], [355, 550], [359, 550], [360, 551], [363, 551], [364, 552], [368, 552], [369, 553], [371, 553], [372, 554], [376, 554], [377, 555], [379, 555], [380, 556], [385, 556], [386, 557], [388, 557], [389, 558], [394, 558], [395, 559], [395, 560], [397, 560], [399, 562], [400, 562], [401, 563], [402, 563], [403, 564], [406, 564], [407, 565], [409, 565], [410, 566], [414, 566], [415, 567], [417, 567], [418, 568], [427, 568], [428, 567], [430, 567], [431, 566], [435, 566], [436, 565], [438, 565], [439, 564], [443, 564], [444, 563], [445, 563], [446, 562], [450, 562], [451, 561], [453, 561], [454, 560], [504, 560], [505, 561], [505, 562], [506, 563], [506, 564], [507, 564], [508, 565], [508, 566], [509, 567], [509, 568], [512, 571], [512, 572], [513, 573], [513, 574], [515, 576], [515, 577], [517, 579], [517, 580], [519, 582], [519, 583], [520, 583], [521, 584], [523, 584], [524, 585], [534, 585], [535, 584], [537, 584], [538, 583], [542, 583], [543, 582], [545, 582], [546, 581], [548, 581], [548, 557], [549, 556], [549, 554], [555, 548], [555, 546], [556, 545], [556, 543], [557, 542], [557, 536], [558, 535], [558, 534], [559, 533], [559, 472], [560, 471], [560, 470], [561, 469], [561, 466], [562, 465], [561, 464], [561, 460], [560, 459], [560, 457], [559, 456], [559, 453], [558, 452], [558, 451], [557, 450], [557, 445], [555, 443], [555, 439], [553, 437], [552, 437], [549, 434], [548, 434], [547, 433], [547, 432], [546, 431], [546, 430], [545, 429], [545, 428], [544, 427], [544, 425], [542, 423], [542, 421], [540, 419], [540, 416], [539, 415], [538, 415], [537, 414], [534, 414], [533, 413], [531, 413], [530, 412], [527, 412], [526, 411], [525, 411], [524, 410], [523, 410], [521, 412], [519, 412], [517, 414], [515, 414], [513, 416], [512, 416], [511, 417], [510, 417], [508, 419], [508, 420], [506, 422], [506, 423], [505, 424], [504, 424], [504, 425], [503, 426], [503, 427], [502, 428], [502, 429], [501, 430], [500, 430], [500, 431], [499, 432], [499, 448], [498, 449], [497, 449], [496, 450], [494, 450], [493, 451], [488, 451], [487, 452], [485, 452], [484, 453], [479, 453], [478, 454], [476, 454], [475, 455], [470, 455], [469, 456], [467, 456], [466, 457], [461, 457], [460, 458], [458, 458], [457, 459], [387, 459], [386, 458], [386, 457], [384, 455], [384, 454], [382, 452], [382, 451], [381, 451], [380, 450], [360, 450], [359, 449], [359, 448], [358, 447], [358, 442], [357, 441], [357, 431], [356, 430], [356, 425], [355, 424], [355, 414], [354, 413], [354, 408], [353, 407], [353, 397], [352, 396], [352, 391], [351, 390], [351, 379], [350, 378], [350, 374], [349, 373], [349, 370], [343, 364], [343, 363], [341, 361], [341, 360], [338, 357], [338, 356], [336, 354], [336, 353], [334, 351], [334, 350], [333, 350], [332, 349], [332, 348], [330, 346], [330, 345], [329, 344], [327, 344], [326, 343], [325, 343], [324, 342], [319, 342], [318, 341], [315, 341], [314, 340], [313, 340], [312, 339], [308, 339], [307, 338], [306, 338], [305, 337], [301, 337], [300, 336], [298, 336], [297, 335]]"
003.png,,1024,1024,31,wood,76,training/color/003.png,,418.0,472.0,609.0,709.0,color,-1,"[[463, 609], [462, 610], [461, 610], [459, 612], [459, 613], [457, 615], [457, 616], [455, 618], [455, 619], [454, 620], [454, 621], [453, 622], [453, 624], [451, 626], [451, 628], [450, 629], [450, 630], [449, 631], [449, 633], [448, 634], [448, 635], [447, 636], [447, 637], [446, 638], [446, 639], [445, 640], [445, 643], [444, 644], [444, 649], [443, 650], [443, 652], [442, 653], [442, 655], [440, 657], [440, 659], [438, 661], [438, 663], [436, 665], [436, 666], [435, 667], [435, 668], [434, 669], [434, 670], [433, 671], [433, 672], [432, 673], [432, 674], [431, 675], [431, 676], [430, 677], [430, 678], [429, 679], [429, 680], [428, 681], [428, 682], [426, 684], [426, 686], [424, 688], [424, 690], [418, 696], [418, 700], [419, 700], [420, 701], [420, 703], [422, 705], [422, 706], [424, 708], [424, 709], [425, 709], [426, 708], [429, 708], [429, 707], [430, 706], [431, 706], [431, 705], [432, 704], [433, 704], [433, 703], [434, 702], [435, 702], [435, 701], [436, 700], [437, 700], [437, 699], [439, 697], [439, 696], [441, 694], [441, 693], [443, 691], [443, 690], [444, 689], [444, 687], [445, 686], [446, 686], [446, 685], [448, 683], [448, 682], [449, 681], [449, 680], [450, 679], [450, 678], [451, 677], [452, 677], [452, 675], [454, 673], [454, 672], [456, 670], [456, 668], [457, 667], [458, 667], [458, 666], [459, 665], [459, 664], [460, 663], [460, 662], [462, 660], [462, 658], [463, 657], [464, 657], [464, 655], [466, 653], [466, 652], [467, 651], [467, 650], [469, 648], [469, 647], [470, 646], [470, 644], [472, 642], [472, 634], [471, 633], [471, 630], [470, 629], [470, 625], [469, 624], [469, 622], [468, 621], [468, 618], [467, 617], [467, 616], [466, 615], [466, 613], [465, 612], [465, 611], [464, 610], [464, 609]]"
003.png,,1024,1024,31,wood,77,training/color/003.png,,844.0,921.0,533.0,632.0,color,-1,"[[855, 533], [854, 534], [854, 535], [852, 537], [852, 538], [851, 539], [851, 540], [850, 541], [850, 542], [849, 543], [847, 543], [845, 545], [844, 545], [844, 547], [845, 548], [845, 552], [846, 553], [846, 556], [847, 556], [848, 557], [848, 558], [849, 558], [850, 559], [850, 560], [851, 560], [852, 561], [852, 562], [853, 562], [854, 563], [854, 564], [855, 565], [855, 566], [856, 567], [856, 568], [857, 569], [857, 570], [859, 572], [859, 574], [860, 574], [861, 575], [861, 576], [863, 578], [863, 579], [865, 581], [865, 582], [867, 584], [867, 585], [868, 585], [869, 586], [869, 587], [870, 588], [870, 591], [871, 592], [871, 596], [872, 596], [873, 597], [876, 597], [877, 598], [878, 598], [879, 599], [886, 599], [889, 602], [889, 607], [891, 607], [892, 608], [893, 608], [894, 609], [898, 609], [900, 611], [900, 613], [901, 614], [901, 615], [902, 616], [902, 620], [903, 621], [903, 622], [904, 623], [904, 626], [905, 627], [905, 628], [907, 630], [908, 630], [910, 632], [912, 630], [913, 630], [913, 629], [914, 628], [915, 628], [917, 626], [917, 625], [918, 624], [918, 623], [919, 622], [919, 621], [920, 620], [920, 617], [921, 616], [921, 597], [920, 596], [920, 595], [919, 594], [919, 593], [917, 591], [917, 589], [916, 589], [914, 587], [912, 587], [911, 586], [910, 586], [909, 585], [907, 585], [906, 584], [905, 584], [904, 583], [898, 583], [897, 582], [897, 581], [895, 579], [895, 578], [889, 578], [887, 576], [887, 575], [886, 574], [886, 573], [882, 569], [882, 568], [880, 566], [880, 564], [879, 563], [879, 562], [878, 561], [878, 559], [876, 557], [876, 556], [873, 553], [873, 552], [870, 549], [870, 548], [869, 548], [868, 547], [867, 547], [866, 546], [866, 545], [865, 545], [864, 544], [864, 543], [862, 541], [862, 539], [860, 537], [860, 535], [859, 534], [859, 533]]"
003.png,,1024,1024,31,wood,78,training/color/003.png,,84.0,183.0,310.0,393.0,color,-1,"[[177, 310], [176, 311], [171, 311], [170, 312], [168, 312], [167, 313], [162, 313], [161, 314], [145, 314], [144, 315], [144, 335], [142, 337], [140, 337], [140, 338], [139, 339], [138, 339], [136, 341], [123, 341], [122, 342], [120, 342], [118, 344], [117, 344], [116, 345], [115, 345], [114, 346], [112, 346], [111, 347], [111, 348], [109, 350], [102, 350], [100, 352], [99, 352], [98, 353], [96, 353], [95, 354], [94, 354], [94, 355], [93, 356], [93, 357], [92, 358], [92, 360], [90, 362], [90, 363], [89, 364], [88, 364], [86, 366], [86, 369], [84, 371], [84, 377], [85, 378], [85, 379], [86, 380], [86, 382], [87, 383], [87, 384], [88, 385], [88, 386], [90, 388], [90, 389], [92, 391], [92, 392], [93, 393], [99, 393], [99, 392], [100, 391], [100, 384], [101, 383], [101, 382], [104, 379], [106, 379], [106, 378], [107, 377], [109, 377], [110, 376], [112, 376], [113, 375], [114, 375], [115, 374], [116, 374], [116, 373], [117, 372], [118, 372], [118, 369], [119, 368], [119, 364], [121, 362], [122, 362], [124, 360], [125, 360], [126, 359], [127, 359], [128, 358], [141, 358], [143, 356], [144, 356], [146, 354], [147, 354], [149, 352], [149, 351], [151, 349], [151, 347], [154, 344], [156, 344], [157, 343], [157, 342], [159, 340], [159, 335], [162, 332], [163, 332], [166, 329], [168, 329], [170, 327], [171, 327], [173, 325], [174, 325], [174, 324], [175, 323], [176, 323], [176, 322], [177, 321], [178, 321], [178, 320], [179, 319], [180, 319], [180, 318], [181, 317], [182, 317], [182, 316], [183, 315], [183, 313], [182, 313], [180, 311], [178, 311]]"
003.png,,1024,1024,31,wood,79,training/color/003.png,,683.0,757.0,253.0,335.0,color,-1,"[[749, 253], [749, 254], [748, 255], [747, 255], [743, 259], [742, 259], [742, 260], [741, 261], [741, 263], [739, 265], [739, 268], [737, 270], [737, 271], [735, 273], [735, 274], [733, 276], [733, 277], [731, 279], [731, 280], [730, 281], [729, 281], [728, 282], [727, 282], [725, 284], [724, 284], [723, 285], [723, 286], [721, 288], [688, 288], [687, 289], [684, 289], [684, 293], [683, 294], [683, 297], [684, 298], [684, 299], [686, 301], [686, 302], [687, 302], [688, 303], [688, 304], [690, 304], [692, 306], [693, 306], [694, 307], [694, 308], [695, 308], [696, 309], [697, 309], [700, 312], [720, 312], [721, 313], [721, 315], [722, 316], [722, 317], [723, 318], [723, 319], [724, 320], [724, 321], [725, 322], [725, 323], [726, 323], [727, 324], [727, 326], [729, 328], [729, 329], [731, 331], [731, 332], [733, 334], [736, 334], [737, 335], [743, 335], [745, 333], [745, 332], [747, 330], [747, 328], [746, 327], [746, 323], [745, 322], [744, 322], [743, 321], [741, 321], [740, 320], [740, 286], [742, 284], [742, 283], [744, 281], [744, 280], [746, 278], [746, 277], [748, 275], [748, 274], [750, 272], [750, 271], [752, 269], [752, 268], [755, 265], [755, 264], [756, 263], [757, 263], [757, 254], [751, 254], [750, 253]]"
