imageName,imageData,imageHeight,imageWidth,img_id,part,id,img_rel_path,classification_rank,x1,x2,y1,y2,label,rank,points
000.png,,1024,1024,58,zipper,82,training/broken_teeth/000.png,,454.0,590.0,780.0,912.0,broken_teeth,-1,"[[507, 780], [506, 781], [502, 781], [501, 782], [498, 782], [497, 783], [494, 783], [493, 784], [490, 784], [489, 785], [486, 785], [485, 786], [478, 786], [477, 787], [470, 787], [469, 788], [466, 788], [464, 790], [464, 791], [463, 792], [463, 795], [462, 796], [462, 797], [461, 798], [461, 800], [460, 801], [460, 812], [459, 813], [459, 819], [458, 820], [458, 825], [457, 826], [457, 832], [456, 833], [456, 837], [455, 838], [455, 844], [454, 845], [454, 861], [456, 863], [456, 864], [457, 865], [457, 866], [459, 868], [459, 869], [460, 870], [460, 874], [461, 875], [461, 876], [462, 877], [462, 878], [463, 879], [464, 879], [470, 885], [471, 885], [474, 888], [475, 888], [478, 891], [480, 891], [484, 895], [485, 895], [487, 897], [488, 897], [489, 898], [490, 898], [492, 900], [493, 900], [495, 902], [497, 902], [498, 903], [499, 903], [502, 906], [503, 906], [504, 907], [505, 907], [506, 908], [508, 908], [509, 909], [510, 909], [511, 910], [512, 910], [514, 912], [522, 912], [523, 911], [529, 911], [530, 910], [535, 910], [536, 909], [542, 909], [543, 908], [546, 908], [551, 903], [552, 903], [555, 900], [556, 900], [559, 897], [560, 897], [561, 896], [562, 896], [563, 895], [564, 895], [565, 894], [566, 894], [567, 893], [568, 893], [569, 892], [570, 892], [571, 891], [574, 891], [575, 890], [576, 890], [581, 885], [581, 884], [582, 883], [582, 882], [585, 879], [586, 879], [586, 878], [587, 877], [587, 872], [588, 871], [588, 865], [589, 864], [589, 858], [590, 857], [590, 844], [589, 843], [589, 835], [588, 834], [588, 833], [586, 831], [585, 831], [584, 830], [584, 829], [583, 829], [581, 827], [579, 827], [575, 823], [574, 823], [573, 822], [572, 822], [571, 821], [570, 821], [568, 819], [567, 819], [566, 818], [565, 818], [564, 817], [564, 816], [563, 816], [562, 815], [559, 815], [557, 813], [556, 813], [552, 809], [551, 809], [550, 808], [549, 808], [546, 805], [546, 804], [545, 803], [544, 803], [541, 800], [541, 799], [540, 798], [539, 798], [535, 794], [535, 793], [534, 792], [533, 792], [527, 786], [526, 786], [523, 783], [518, 783], [517, 782], [513, 782], [512, 781], [508, 781]]"
000.png,,1024,1024,58,zipper,83,training/broken_teeth/000.png,,468.0,595.0,108.0,251.0,broken_teeth,-1,"[[549, 108], [548, 109], [543, 109], [542, 110], [539, 110], [538, 111], [531, 111], [530, 112], [527, 112], [526, 113], [525, 113], [521, 117], [519, 117], [517, 119], [513, 119], [512, 120], [509, 120], [508, 121], [505, 121], [504, 122], [501, 122], [500, 123], [494, 123], [493, 124], [492, 124], [491, 125], [491, 126], [489, 128], [489, 130], [487, 132], [487, 133], [484, 136], [484, 137], [483, 138], [483, 140], [482, 141], [482, 142], [480, 144], [480, 145], [478, 147], [478, 150], [475, 153], [475, 154], [474, 155], [474, 156], [473, 157], [473, 162], [472, 163], [472, 178], [471, 179], [471, 185], [470, 186], [470, 192], [469, 193], [469, 199], [468, 200], [468, 204], [469, 205], [469, 207], [470, 208], [470, 210], [471, 211], [471, 213], [472, 214], [472, 220], [473, 221], [473, 222], [475, 222], [479, 226], [480, 226], [481, 227], [482, 227], [483, 228], [484, 228], [486, 230], [487, 230], [490, 233], [492, 233], [494, 235], [495, 235], [496, 236], [497, 236], [498, 237], [499, 237], [501, 239], [504, 239], [505, 240], [506, 240], [508, 242], [509, 242], [510, 243], [511, 243], [513, 245], [516, 245], [518, 247], [519, 247], [520, 248], [521, 248], [522, 249], [523, 249], [525, 251], [544, 251], [545, 250], [558, 250], [560, 248], [561, 248], [562, 247], [563, 247], [564, 246], [565, 246], [566, 245], [569, 245], [571, 243], [573, 243], [574, 242], [575, 242], [579, 238], [579, 237], [581, 235], [581, 234], [582, 233], [582, 232], [583, 231], [583, 230], [587, 226], [587, 221], [588, 220], [588, 218], [589, 217], [589, 215], [590, 214], [590, 211], [591, 210], [591, 206], [592, 205], [592, 201], [593, 200], [593, 191], [594, 190], [594, 187], [595, 186], [595, 179], [594, 178], [594, 166], [593, 165], [593, 152], [592, 151], [592, 147], [591, 146], [591, 143], [590, 142], [590, 140], [589, 139], [589, 135], [588, 134], [588, 132], [587, 131], [587, 129], [585, 127], [585, 126], [584, 125], [584, 124], [578, 118], [577, 118], [574, 115], [573, 115], [570, 112], [570, 111], [563, 111], [562, 110], [559, 110], [558, 109], [554, 109], [553, 108]]"
001.png,,1024,1024,59,zipper,84,training/broken_teeth/001.png,,430.0,510.0,884.0,1023.0,broken_teeth,-1,"[[453, 884], [452, 885], [447, 885], [444, 888], [443, 888], [443, 890], [442, 891], [441, 891], [441, 893], [440, 894], [440, 895], [439, 896], [439, 897], [438, 898], [438, 900], [437, 901], [437, 912], [438, 913], [438, 946], [437, 947], [437, 948], [436, 949], [436, 981], [435, 982], [435, 1009], [434, 1010], [434, 1012], [432, 1014], [432, 1016], [431, 1017], [431, 1020], [430, 1021], [430, 1023], [499, 1023], [499, 971], [500, 970], [500, 947], [501, 946], [502, 946], [506, 942], [506, 941], [510, 937], [509, 936], [509, 934], [508, 933], [508, 931], [507, 930], [507, 928], [506, 927], [506, 926], [505, 925], [505, 924], [503, 922], [503, 921], [501, 919], [501, 918], [500, 917], [500, 915], [499, 914], [495, 914], [494, 913], [492, 913], [488, 909], [488, 908], [484, 904], [483, 904], [481, 902], [478, 902], [475, 899], [475, 890], [473, 890], [471, 888], [469, 888], [468, 887], [466, 887], [464, 885], [460, 885], [459, 884]]"
001.png,,1024,1024,59,zipper,85,training/broken_teeth/001.png,,478.0,554.0,0.0,116.0,broken_teeth,-1,"[[503, 0], [503, 16], [501, 18], [501, 21], [500, 22], [500, 23], [499, 24], [499, 27], [498, 28], [498, 32], [497, 33], [497, 37], [496, 38], [496, 40], [495, 41], [495, 48], [494, 49], [494, 53], [488, 59], [487, 59], [486, 60], [485, 60], [480, 65], [478, 65], [478, 76], [479, 77], [479, 82], [480, 83], [480, 91], [481, 92], [481, 94], [482, 95], [482, 96], [483, 97], [483, 101], [484, 102], [484, 103], [485, 104], [485, 105], [486, 106], [486, 108], [487, 109], [487, 110], [488, 111], [492, 111], [493, 112], [501, 112], [502, 113], [510, 113], [512, 115], [520, 115], [521, 116], [523, 116], [523, 115], [524, 114], [525, 114], [527, 112], [528, 112], [530, 110], [531, 110], [533, 108], [534, 108], [537, 105], [538, 105], [539, 104], [540, 104], [545, 99], [545, 98], [546, 97], [546, 94], [547, 93], [547, 91], [548, 90], [548, 89], [549, 88], [549, 87], [550, 86], [550, 83], [551, 82], [551, 79], [552, 78], [552, 70], [553, 69], [553, 65], [554, 64], [554, 59], [553, 58], [553, 55], [552, 54], [552, 47], [551, 46], [551, 41], [549, 39], [549, 38], [546, 35], [546, 33], [544, 31], [544, 30], [543, 30], [541, 28], [541, 26], [536, 21], [536, 20], [534, 18], [533, 18], [531, 16], [531, 0]]"
002.png,,1024,1024,60,zipper,86,training/broken_teeth/002.png,,487.0,570.0,799.0,926.0,broken_teeth,-1,"[[514, 799], [513, 800], [510, 800], [509, 801], [506, 801], [505, 802], [501, 802], [500, 803], [493, 803], [493, 804], [492, 805], [492, 807], [491, 808], [491, 809], [490, 810], [490, 813], [489, 814], [489, 815], [488, 816], [488, 818], [487, 819], [487, 822], [488, 823], [488, 830], [489, 831], [489, 849], [490, 850], [490, 870], [491, 871], [491, 884], [492, 885], [492, 901], [493, 902], [493, 909], [496, 912], [497, 912], [498, 913], [499, 913], [500, 914], [502, 914], [503, 915], [504, 915], [505, 916], [506, 916], [508, 918], [509, 918], [510, 919], [511, 919], [512, 920], [513, 920], [514, 921], [515, 921], [516, 922], [517, 922], [519, 924], [520, 924], [521, 925], [522, 925], [523, 926], [528, 926], [529, 925], [530, 925], [531, 924], [533, 924], [534, 923], [536, 923], [537, 922], [539, 922], [540, 921], [541, 921], [542, 920], [547, 920], [548, 919], [550, 919], [551, 918], [552, 918], [558, 912], [558, 911], [559, 910], [559, 909], [560, 908], [561, 908], [563, 906], [563, 905], [564, 904], [564, 903], [565, 902], [566, 902], [566, 901], [568, 899], [568, 898], [569, 897], [569, 893], [570, 892], [570, 862], [569, 861], [569, 860], [568, 859], [568, 858], [567, 857], [567, 826], [566, 825], [566, 822], [565, 821], [565, 820], [564, 819], [564, 815], [555, 806], [554, 806], [552, 804], [551, 804], [550, 803], [547, 803], [546, 802], [524, 802], [523, 801], [521, 801], [520, 800], [515, 800]]"
002.png,,1024,1024,60,zipper,87,training/broken_teeth/002.png,,454.0,525.0,0.0,111.0,broken_teeth,-1,"[[465, 0], [465, 17], [464, 18], [463, 18], [461, 20], [461, 22], [460, 23], [460, 29], [459, 30], [459, 34], [458, 35], [458, 38], [457, 39], [457, 42], [456, 43], [456, 46], [455, 47], [455, 50], [454, 51], [454, 59], [455, 60], [455, 61], [456, 62], [456, 64], [458, 66], [458, 67], [459, 68], [459, 70], [460, 71], [460, 73], [461, 74], [461, 75], [463, 77], [463, 78], [464, 79], [464, 81], [465, 82], [465, 84], [466, 85], [466, 89], [467, 90], [467, 93], [468, 94], [469, 94], [471, 96], [471, 97], [472, 98], [472, 99], [474, 99], [478, 103], [478, 104], [479, 105], [481, 105], [483, 107], [483, 108], [486, 111], [493, 111], [494, 110], [496, 110], [497, 109], [500, 109], [501, 108], [503, 108], [504, 107], [507, 107], [508, 106], [511, 106], [512, 105], [517, 105], [518, 104], [520, 104], [520, 103], [521, 102], [521, 100], [522, 99], [522, 96], [523, 95], [523, 89], [524, 88], [524, 86], [525, 85], [525, 78], [524, 77], [524, 74], [523, 73], [523, 63], [522, 62], [522, 59], [521, 58], [521, 54], [520, 53], [520, 51], [519, 50], [519, 46], [518, 45], [518, 43], [517, 42], [517, 41], [516, 40], [516, 39], [515, 38], [515, 37], [512, 34], [512, 32], [511, 31], [511, 30], [510, 30], [509, 29], [509, 28], [508, 27], [508, 26], [506, 24], [506, 23], [500, 17], [500, 0]]"
003.png,,1024,1024,61,zipper,88,training/broken_teeth/003.png,,454.0,545.0,874.0,950.0,broken_teeth,-1,"[[478, 874], [477, 875], [473, 875], [472, 876], [469, 876], [468, 877], [468, 878], [467, 879], [466, 879], [466, 881], [465, 882], [465, 883], [462, 886], [462, 887], [461, 888], [461, 889], [460, 890], [460, 891], [456, 895], [456, 899], [455, 900], [455, 933], [454, 934], [454, 937], [456, 937], [458, 939], [459, 939], [460, 940], [460, 941], [461, 942], [462, 942], [463, 943], [465, 943], [466, 944], [466, 945], [467, 945], [469, 947], [470, 947], [472, 949], [477, 949], [478, 950], [501, 950], [502, 949], [507, 949], [508, 948], [510, 948], [515, 943], [516, 943], [517, 942], [517, 941], [521, 937], [522, 937], [523, 936], [523, 935], [527, 931], [528, 931], [529, 930], [529, 929], [530, 928], [532, 928], [533, 927], [534, 927], [535, 926], [536, 926], [537, 925], [538, 925], [540, 923], [541, 923], [544, 920], [545, 920], [544, 920], [543, 919], [542, 919], [541, 918], [541, 917], [540, 917], [539, 916], [539, 915], [536, 912], [536, 911], [535, 910], [535, 908], [533, 906], [533, 905], [532, 904], [532, 903], [531, 902], [531, 901], [530, 900], [530, 897], [529, 896], [529, 893], [527, 893], [526, 892], [524, 892], [523, 891], [520, 891], [519, 890], [518, 890], [517, 889], [514, 889], [513, 888], [512, 888], [511, 887], [510, 887], [509, 886], [507, 886], [506, 885], [505, 885], [500, 880], [500, 879], [499, 879], [498, 878], [497, 878], [496, 877], [495, 877], [494, 876], [492, 876], [491, 875], [489, 875], [488, 874]]"
003.png,,1024,1024,61,zipper,89,training/broken_teeth/003.png,,494.0,613.0,346.0,499.0,broken_teeth,-1,"[[523, 346], [522, 347], [519, 347], [518, 348], [516, 348], [515, 349], [513, 349], [513, 350], [512, 351], [512, 353], [511, 354], [511, 355], [510, 356], [510, 358], [508, 360], [508, 364], [507, 365], [507, 372], [505, 374], [505, 375], [500, 380], [500, 381], [499, 382], [499, 383], [498, 384], [498, 385], [497, 386], [497, 387], [496, 388], [496, 389], [495, 390], [495, 400], [494, 401], [494, 408], [495, 409], [495, 411], [496, 412], [496, 413], [499, 416], [499, 417], [500, 418], [500, 419], [501, 420], [501, 421], [502, 422], [502, 425], [503, 426], [503, 428], [504, 429], [504, 431], [505, 432], [505, 435], [506, 436], [506, 443], [507, 444], [507, 448], [508, 449], [508, 482], [507, 483], [507, 485], [508, 486], [510, 486], [511, 487], [512, 487], [513, 488], [514, 488], [515, 489], [519, 489], [520, 490], [522, 490], [524, 492], [525, 492], [526, 493], [527, 493], [528, 494], [529, 494], [530, 495], [534, 495], [535, 496], [536, 496], [537, 497], [538, 497], [539, 498], [544, 498], [545, 499], [551, 499], [553, 497], [554, 497], [555, 496], [556, 496], [557, 495], [560, 495], [561, 494], [562, 494], [563, 493], [564, 493], [566, 491], [567, 491], [568, 490], [569, 490], [570, 489], [571, 489], [572, 488], [573, 488], [574, 487], [575, 487], [576, 486], [576, 485], [578, 483], [578, 482], [580, 480], [580, 479], [581, 478], [581, 474], [582, 473], [582, 472], [583, 471], [583, 469], [584, 468], [584, 467], [585, 466], [585, 465], [586, 464], [586, 462], [587, 461], [587, 453], [588, 452], [588, 448], [589, 447], [589, 444], [591, 442], [591, 438], [592, 437], [592, 433], [593, 432], [593, 418], [594, 417], [594, 412], [595, 411], [595, 408], [596, 407], [596, 405], [599, 402], [602, 402], [603, 401], [604, 401], [605, 400], [605, 397], [608, 394], [608, 393], [609, 392], [609, 391], [610, 390], [610, 389], [611, 388], [611, 387], [613, 385], [613, 384], [611, 382], [611, 381], [610, 380], [610, 379], [609, 378], [609, 377], [608, 376], [608, 375], [605, 372], [605, 371], [603, 369], [602, 369], [601, 368], [600, 368], [599, 367], [598, 367], [596, 365], [595, 365], [593, 363], [593, 362], [592, 361], [592, 360], [590, 358], [590, 356], [588, 354], [588, 353], [587, 352], [587, 350], [586, 349], [584, 349], [583, 348], [582, 348], [581, 347], [580, 347], [579, 346], [573, 346], [572, 347], [535, 347], [534, 346]]"
004.png,,1024,1024,62,zipper,90,training/broken_teeth/004.png,,389.0,562.0,105.0,271.0,broken_teeth,-1,"[[426, 105], [425, 106], [419, 106], [418, 107], [411, 107], [410, 108], [408, 108], [405, 111], [403, 111], [397, 117], [396, 117], [396, 118], [392, 122], [392, 123], [391, 124], [391, 151], [390, 152], [390, 158], [389, 159], [389, 165], [390, 166], [390, 173], [391, 174], [392, 174], [393, 175], [395, 175], [396, 176], [399, 176], [400, 177], [413, 177], [414, 178], [414, 206], [416, 208], [416, 209], [419, 212], [419, 214], [427, 214], [429, 216], [430, 216], [431, 217], [432, 217], [433, 218], [433, 219], [437, 223], [437, 224], [439, 226], [439, 227], [440, 228], [440, 230], [441, 231], [441, 232], [442, 233], [442, 234], [443, 235], [443, 236], [449, 242], [449, 243], [450, 244], [450, 245], [451, 245], [454, 248], [454, 249], [455, 249], [456, 250], [457, 250], [458, 251], [461, 251], [462, 252], [463, 252], [464, 253], [465, 253], [466, 254], [466, 255], [467, 255], [468, 256], [469, 256], [470, 257], [473, 257], [474, 258], [475, 258], [478, 261], [479, 261], [480, 262], [524, 262], [525, 263], [526, 263], [527, 264], [528, 264], [530, 266], [530, 267], [531, 267], [532, 268], [535, 268], [537, 270], [554, 270], [555, 271], [557, 271], [557, 269], [558, 268], [558, 263], [559, 262], [559, 259], [561, 257], [561, 255], [562, 254], [562, 253], [561, 252], [561, 250], [560, 249], [560, 246], [559, 245], [559, 244], [558, 243], [558, 236], [556, 234], [556, 233], [554, 231], [554, 230], [552, 228], [552, 227], [551, 226], [551, 224], [547, 220], [547, 219], [546, 218], [546, 216], [542, 216], [540, 214], [539, 214], [538, 213], [536, 213], [533, 210], [530, 210], [528, 208], [527, 208], [526, 207], [525, 207], [522, 204], [520, 204], [517, 201], [516, 201], [514, 199], [514, 198], [513, 197], [513, 194], [512, 193], [512, 189], [511, 188], [511, 187], [510, 186], [510, 182], [509, 181], [509, 174], [508, 173], [508, 169], [507, 168], [507, 164], [506, 163], [506, 146], [505, 146], [504, 145], [504, 144], [502, 142], [502, 140], [501, 140], [500, 139], [500, 137], [499, 136], [499, 135], [498, 134], [496, 134], [494, 132], [493, 132], [492, 131], [491, 131], [490, 130], [489, 130], [488, 129], [486, 129], [485, 128], [484, 128], [483, 127], [481, 127], [480, 126], [479, 126], [477, 124], [474, 124], [473, 123], [470, 123], [469, 122], [467, 122], [463, 118], [462, 118], [461, 117], [458, 117], [457, 116], [454, 116], [453, 115], [453, 114], [451, 114], [450, 113], [449, 113], [448, 112], [447, 112], [446, 111], [443, 111], [442, 110], [441, 110], [440, 109], [439, 109], [438, 108], [436, 108], [435, 107], [431, 107], [430, 106], [427, 106]]"
005.png,,1024,1024,63,zipper,91,training/broken_teeth/005.png,,483.0,574.0,629.0,750.0,broken_teeth,-1,"[[510, 629], [509, 630], [507, 630], [505, 632], [504, 632], [503, 633], [501, 633], [501, 634], [500, 635], [498, 635], [498, 637], [497, 638], [497, 642], [496, 643], [496, 645], [495, 646], [495, 650], [492, 653], [492, 654], [491, 655], [491, 657], [490, 658], [490, 659], [489, 660], [489, 663], [487, 665], [487, 666], [486, 667], [486, 668], [485, 669], [485, 670], [484, 671], [484, 676], [483, 677], [483, 687], [484, 688], [484, 690], [485, 691], [485, 693], [486, 694], [486, 695], [489, 698], [489, 699], [491, 699], [493, 701], [493, 702], [494, 702], [495, 703], [495, 705], [498, 708], [498, 709], [500, 711], [500, 712], [501, 713], [501, 716], [502, 717], [502, 720], [503, 721], [503, 723], [504, 724], [504, 726], [505, 727], [505, 731], [506, 732], [506, 734], [507, 735], [507, 737], [508, 738], [508, 739], [511, 742], [511, 743], [513, 745], [513, 746], [514, 747], [517, 747], [518, 748], [523, 748], [524, 749], [528, 749], [529, 750], [531, 750], [532, 749], [535, 749], [536, 748], [538, 748], [539, 747], [541, 747], [542, 746], [544, 746], [545, 745], [549, 745], [552, 742], [552, 741], [553, 740], [554, 740], [558, 736], [558, 735], [559, 734], [560, 734], [564, 730], [564, 727], [565, 726], [565, 723], [566, 722], [566, 721], [567, 720], [567, 718], [568, 717], [568, 714], [569, 713], [569, 708], [570, 707], [570, 701], [571, 700], [571, 694], [572, 693], [572, 683], [573, 682], [573, 679], [574, 678], [574, 670], [573, 669], [573, 667], [572, 666], [572, 664], [571, 663], [571, 660], [570, 659], [570, 657], [569, 656], [569, 655], [567, 653], [567, 652], [566, 651], [566, 650], [564, 648], [564, 647], [563, 646], [562, 646], [558, 642], [558, 641], [557, 641], [556, 640], [556, 639], [554, 637], [554, 636], [549, 631], [549, 630], [548, 629]]"
